Timestamp, Temperature[°C], Humidity[%]
2023_07_11_10_23_34,25.85,61.98
2023_07_11_10_23_36,25.8,61.99
2023_07_11_10_23_38,25.8,62.01
2023_07_11_10_23_40,25.78,62.06
2023_07_11_10_23_42,25.8,62.11
2023_07_11_10_23_44,25.77,62.15
2023_07_11_10_23_46,25.74,62.16
2023_07_11_10_23_48,25.71,62.18
2023_07_11_10_23_50,25.68,62.31
2023_07_11_10_23_52,25.7,62.35
2023_07_11_10_23_54,25.67,62.4
2023_07_11_10_23_56,25.65,62.41
2023_07_11_10_23_58,25.63,62.46
2023_07_11_10_24_00,25.64,62.51
2023_07_11_10_24_02,25.63,62.53
2023_07_11_10_24_04,25.63,62.58
2023_07_11_10_24_06,25.61,62.61
2023_07_11_10_24_08,25.64,62.67
2023_07_11_10_24_10,25.61,62.66
2023_07_11_10_24_12,25.58,62.64
2023_07_11_10_24_14,25.6,62.68
2023_07_11_10_24_16,25.63,62.72
2023_07_11_10_24_18,25.64,62.74
2023_07_11_10_24_20,25.63,62.72
2023_07_11_10_24_22,25.61,62.72
2023_07_11_10_24_24,25.61,62.7
2023_07_11_10_24_26,25.6,62.73
2023_07_11_10_24_29,25.61,62.72
2023_07_11_10_24_31,25.6,62.69
2023_07_11_10_24_33,25.61,62.67
2023_07_11_10_24_35,25.61,62.69
2023_07_11_10_24_37,25.64,62.7
2023_07_11_10_24_39,25.63,62.69
2023_07_11_10_24_41,25.65,62.67
2023_07_11_10_24_43,25.64,62.69
2023_07_11_10_24_45,25.64,62.63
2023_07_11_10_24_47,25.64,62.64
2023_07_11_10_24_49,25.58,62.63
2023_07_11_10_24_51,25.6,62.64
2023_07_11_10_24_53,25.55,62.69
2023_07_11_10_24_55,25.57,62.72
2023_07_11_10_24_57,25.58,62.76
2023_07_11_10_24_59,25.6,62.78
2023_07_11_10_25_01,25.63,62.74
2023_07_11_10_25_03,25.65,62.73
2023_07_11_10_25_05,25.63,62.65
2023_07_11_10_25_07,25.63,62.65
2023_07_11_10_25_09,25.61,62.59
2023_07_11_10_25_11,25.61,62.61
2023_07_11_10_25_13,25.61,62.64
2023_07_11_10_25_15,25.6,62.67
2023_07_11_10_25_17,25.63,62.69
2023_07_11_10_25_19,25.63,62.69
2023_07_11_10_25_21,25.65,62.67
2023_07_11_10_25_23,25.64,62.64
2023_07_11_10_25_25,25.65,62.63
2023_07_11_10_25_27,25.63,62.64
2023_07_11_10_25_29,25.63,62.63
2023_07_11_10_25_31,25.67,62.66
2023_07_11_10_25_33,25.65,62.62
2023_07_11_10_25_35,25.64,62.64
2023_07_11_10_25_37,25.67,62.59
2023_07_11_10_25_39,25.64,62.54
2023_07_11_10_25_41,25.63,62.47
2023_07_11_10_25_43,25.67,62.54
2023_07_11_10_25_45,25.67,62.51
2023_07_11_10_25_47,25.67,62.49
2023_07_11_10_25_49,25.68,62.45
2023_07_11_10_25_51,25.71,62.36
2023_07_11_10_25_54,25.73,62.27
2023_07_11_10_25_56,25.77,62.26
2023_07_11_10_25_58,25.75,62.3
2023_07_11_10_26_00,25.77,62.3
2023_07_11_10_26_02,25.75,62.28
2023_07_11_10_26_04,25.8,62.27
2023_07_11_10_26_06,25.8,62.27
2023_07_11_10_26_08,25.83,62.35
2023_07_11_10_26_10,25.88,62.44
2023_07_11_10_26_12,25.88,62.35
2023_07_11_10_26_14,25.94,62.24
2023_07_11_10_26_16,25.94,62.12
2023_07_11_10_26_18,25.95,62.03
2023_07_11_10_26_20,25.92,61.96
2023_07_11_10_26_22,25.89,61.91
2023_07_11_10_26_24,25.88,61.91
2023_07_11_10_26_26,25.88,61.92
2023_07_11_10_26_28,25.87,61.95
2023_07_11_10_26_30,25.85,61.94
2023_07_11_10_26_32,25.8,61.97
2023_07_11_10_26_34,25.8,62.05
2023_07_11_10_26_36,25.78,62.07
2023_07_11_10_26_38,25.75,62.19
2023_07_11_10_26_40,25.78,62.21
2023_07_11_10_26_42,25.83,62.27
2023_07_11_10_26_44,25.83,62.26
2023_07_11_10_26_46,25.87,62.24
2023_07_11_10_26_48,25.91,62.27
2023_07_11_10_26_50,25.89,62.26
2023_07_11_10_26_52,25.88,62.12
2023_07_11_10_26_54,25.91,62.12
2023_07_11_10_26_56,25.95,62.11
2023_07_11_10_26_58,25.95,61.96
2023_07_11_10_27_00,25.92,61.93
2023_07_11_10_27_02,25.91,61.91
2023_07_11_10_27_04,25.88,61.83
2023_07_11_10_27_06,25.87,61.76
2023_07_11_10_27_08,25.87,61.8
2023_07_11_10_27_10,25.87,61.89
2023_07_11_10_27_12,25.89,61.96
2023_07_11_10_27_14,25.88,61.98
2023_07_11_10_27_16,25.85,61.98
2023_07_11_10_27_18,25.81,61.99
2023_07_11_10_27_20,25.83,61.99
2023_07_11_10_27_22,25.83,62.03
2023_07_11_10_27_24,25.81,62.04
2023_07_11_10_27_26,25.81,62.1
2023_07_11_10_27_28,25.78,62.09
2023_07_11_10_27_30,25.73,62.14
2023_07_11_10_27_32,25.74,62.2
2023_07_11_10_27_34,25.71,62.27
2023_07_11_10_27_37,25.68,62.29
2023_07_11_10_27_39,25.68,62.37
2023_07_11_10_27_41,25.67,62.45
2023_07_11_10_27_43,25.64,62.46
2023_07_11_10_27_45,25.65,62.5
2023_07_11_10_27_47,25.63,62.55
2023_07_11_10_27_49,25.63,62.58
2023_07_11_10_27_51,25.64,62.59
2023_07_11_10_27_53,25.63,62.61
2023_07_11_10_27_55,25.63,62.6
