Timestamp, Temperature[°C], Humidity[%]
2023_07_11_11_57_36,26.29,60.86
2023_07_11_11_57_38,26.29,60.84
2023_07_11_11_57_40,26.28,60.88
2023_07_11_11_57_42,26.29,60.84
2023_07_11_11_57_44,26.25,60.85
2023_07_11_11_57_46,26.31,60.91
2023_07_11_11_57_49,26.32,60.88
2023_07_11_11_57_51,26.28,60.87
2023_07_11_11_57_53,26.31,60.88
2023_07_11_11_57_55,26.28,60.84
2023_07_11_11_57_57,26.26,60.89
2023_07_11_11_57_59,26.26,60.89
2023_07_11_11_58_01,26.24,60.93
2023_07_11_11_58_03,26.24,60.94
2023_07_11_11_58_05,26.22,60.98
2023_07_11_11_58_07,26.21,61
2023_07_11_11_58_09,26.18,61.03
2023_07_11_11_58_11,26.16,61.07
2023_07_11_11_58_13,26.15,61.13
2023_07_11_11_58_15,26.16,61.15
2023_07_11_11_58_17,26.18,61.18
2023_07_11_11_58_19,26.19,61.22
2023_07_11_11_58_21,26.19,61.17
2023_07_11_11_58_23,26.21,61.11
2023_07_11_11_58_25,26.25,61.13
2023_07_11_11_58_27,26.24,61.09
2023_07_11_11_58_29,26.24,61.06
2023_07_11_11_58_31,26.22,61.04
2023_07_11_11_58_33,26.22,61.08
2023_07_11_11_58_35,26.24,61.03
2023_07_11_11_58_37,26.21,61.04
2023_07_11_11_58_39,26.18,61.05
2023_07_11_11_58_41,26.18,61.11
2023_07_11_11_58_43,26.18,61.12
2023_07_11_11_58_45,26.22,61.14
2023_07_11_11_58_47,26.25,61.13
2023_07_11_11_58_49,26.31,61.07
2023_07_11_11_58_51,26.31,60.98
2023_07_11_11_58_53,26.28,60.93
2023_07_11_11_58_55,26.29,61.04
2023_07_11_11_58_57,26.31,61.12
2023_07_11_11_58_59,26.31,61.13
2023_07_11_11_59_01,26.28,61.08
2023_07_11_11_59_03,26.34,61
2023_07_11_11_59_05,26.31,61
2023_07_11_11_59_07,26.35,60.96
2023_07_11_11_59_09,26.35,60.94
2023_07_11_11_59_11,26.36,60.91
2023_07_11_11_59_13,26.34,60.85
2023_07_11_11_59_15,26.34,60.83
2023_07_11_11_59_17,26.29,60.84
2023_07_11_11_59_19,26.29,60.81
2023_07_11_11_59_21,26.22,60.87
2023_07_11_11_59_23,26.19,60.9
2023_07_11_11_59_25,26.22,60.98
2023_07_11_11_59_27,26.19,60.99
2023_07_11_11_59_29,26.16,61.04
2023_07_11_11_59_31,26.14,61.07
2023_07_11_11_59_33,26.11,61.15
2023_07_11_11_59_35,26.08,61.24
2023_07_11_11_59_38,26.08,61.3
2023_07_11_11_59_40,26.08,61.29
2023_07_11_11_59_42,26.08,61.38
2023_07_11_11_59_44,26.05,61.44
2023_07_11_11_59_46,26.08,61.46
2023_07_11_11_59_48,26.05,61.43
2023_07_11_11_59_50,26.11,61.44
2023_07_11_11_59_52,26.16,61.36
2023_07_11_11_59_54,26.15,61.35
2023_07_11_11_59_56,26.18,61.28
2023_07_11_11_59_58,26.18,61.23
2023_07_11_12_00_00,26.24,61.21
2023_07_11_12_00_02,26.22,61.13
2023_07_11_12_00_04,26.22,61.12
2023_07_11_12_00_06,26.22,61.05
2023_07_11_12_00_08,26.25,61.07
2023_07_11_12_00_10,26.22,61.08
2023_07_11_12_00_12,26.24,61.07
2023_07_11_12_00_14,26.31,61.01
2023_07_11_12_00_16,26.32,60.94
2023_07_11_12_00_18,26.32,60.89
2023_07_11_12_00_20,26.35,60.86
2023_07_11_12_00_22,26.34,60.79
2023_07_11_12_00_24,26.32,60.8
2023_07_11_12_00_26,26.32,60.75
2023_07_11_12_00_28,26.29,60.74
2023_07_11_12_00_30,26.28,60.76
2023_07_11_12_00_32,26.24,60.8
2023_07_11_12_00_34,26.22,60.86
2023_07_11_12_00_36,26.21,60.94
2023_07_11_12_00_38,26.19,60.96
2023_07_11_12_00_40,26.18,61.01
2023_07_11_12_00_42,26.15,61.05
2023_07_11_12_00_44,26.12,61.17
2023_07_11_12_00_46,26.11,61.2
2023_07_11_12_00_48,26.11,61.2
2023_07_11_12_00_50,26.09,61.22
2023_07_11_12_00_52,26.11,61.28
2023_07_11_12_00_54,26.12,61.32
2023_07_11_12_00_56,26.14,61.34
2023_07_11_12_00_58,26.11,61.28
2023_07_11_12_01_00,26.12,61.3
2023_07_11_12_01_02,26.09,61.32
2023_07_11_12_01_04,26.09,61.35
2023_07_11_12_01_06,26.11,61.34
2023_07_11_12_01_08,26.08,61.39
2023_07_11_12_01_10,26.11,61.42
2023_07_11_12_01_12,26.09,61.37
2023_07_11_12_01_14,26.12,61.34
2023_07_11_12_01_16,26.11,61.37
2023_07_11_12_01_18,26.15,61.37
2023_07_11_12_01_20,26.15,61.32
2023_07_11_12_01_22,26.18,61.61
2023_07_11_12_01_24,26.22,61.68
2023_07_11_12_01_27,26.21,61.67
2023_07_11_12_01_29,26.18,61.53
2023_07_11_12_01_31,26.18,61.41
2023_07_11_12_01_33,26.19,61.36
2023_07_11_12_01_35,26.21,61.29
2023_07_11_12_01_37,26.22,61.28
2023_07_11_12_01_39,26.19,61.21
2023_07_11_12_01_41,26.19,61.2
2023_07_11_12_01_43,26.12,61.18
2023_07_11_12_01_45,26.16,61.22
2023_07_11_12_01_47,26.19,61.2
2023_07_11_12_01_49,26.21,61.21
2023_07_11_12_01_51,26.21,61.19
2023_07_11_12_01_53,26.25,61.16
2023_07_11_12_01_55,26.24,61.09
2023_07_11_12_01_57,26.25,61.08
2023_07_11_12_01_59,26.22,61.05
2023_07_11_12_02_01,26.24,61.03
2023_07_11_12_02_03,26.21,61.06
2023_07_11_12_02_05,26.25,61.11
2023_07_11_12_02_07,26.24,61.07
2023_07_11_12_02_09,26.26,61.07
2023_07_11_12_02_11,26.31,61.05
2023_07_11_12_02_13,26.31,60.94
2023_07_11_12_02_15,26.29,60.93
2023_07_11_12_02_17,26.25,60.91
2023_07_11_12_02_19,26.26,60.95
2023_07_11_12_02_21,26.26,60.95
2023_07_11_12_02_23,26.31,60.93
2023_07_11_12_02_25,26.32,60.98
2023_07_11_12_02_27,26.32,60.96
2023_07_11_12_02_29,26.29,60.88
2023_07_11_12_02_32,26.26,60.89
2023_07_11_12_02_34,26.24,60.84
2023_07_11_12_02_36,26.26,60.9
2023_07_11_12_02_38,26.25,60.9
2023_07_11_12_02_40,26.26,60.94
2023_07_11_12_02_42,26.24,60.98
2023_07_11_12_02_44,26.22,60.97
2023_07_11_12_02_46,26.21,60.98
2023_07_11_12_02_48,26.22,61.01
2023_07_11_12_02_50,26.21,61.01
2023_07_11_12_02_52,26.26,61.05
2023_07_11_12_02_54,26.31,61.01
2023_07_11_12_02_56,26.29,60.95
2023_07_11_12_02_58,26.28,60.92
2023_07_11_12_03_00,26.32,60.94
2023_07_11_12_03_02,26.32,60.85
2023_07_11_12_03_04,26.32,60.83
2023_07_11_12_03_06,26.34,60.84
2023_07_11_12_03_08,26.39,60.79
2023_07_11_12_03_10,26.38,60.72
2023_07_11_12_03_12,26.38,60.65
2023_07_11_12_03_14,26.35,60.65
2023_07_11_12_03_16,26.34,60.68
2023_07_11_12_03_18,26.32,60.7
2023_07_11_12_03_20,26.32,60.74
2023_07_11_12_03_22,26.31,60.78
2023_07_11_12_03_24,26.32,60.78
2023_07_11_12_03_26,26.28,60.83
2023_07_11_12_03_28,26.26,60.83
2023_07_11_12_03_31,26.24,60.88
2023_07_11_12_03_33,26.22,60.95
2023_07_11_12_03_35,26.19,61.01
2023_07_11_12_03_37,26.21,61.06
2023_07_11_12_03_39,26.19,61.05
2023_07_11_12_03_41,26.21,61.06
2023_07_11_12_03_43,26.19,61.1
2023_07_11_12_03_45,26.19,61.12
2023_07_11_12_03_47,26.15,61.14
2023_07_11_12_03_49,26.14,61.17
2023_07_11_12_03_51,26.12,61.17
2023_07_11_12_03_53,26.12,61.23
2023_07_11_12_03_55,26.15,61.33
2023_07_11_12_03_57,26.16,61.28
2023_07_11_12_03_59,26.16,61.28
2023_07_11_12_04_01,26.15,61.29
2023_07_11_12_04_03,26.16,61.27
2023_07_11_12_04_05,26.15,61.25
2023_07_11_12_04_07,26.14,61.29
2023_07_11_12_04_09,26.16,61.25
2023_07_11_12_04_11,26.15,61.26
