Timestamp, Temperature[°C], Humidity[%]
2023_06_27_10_57_15, 25.88, 54.36
2023_06_27_10_57_17, 25.88, 54.40
2023_06_27_10_57_19, 25.85, 54.42
2023_06_27_10_57_21, 25.81, 54.51
2023_06_27_10_57_23, 25.85, 54.57
2023_06_27_10_57_25, 25.85, 54.56
2023_06_27_10_57_27, 25.89, 54.54
2023_06_27_10_57_29, 25.88, 54.50
2023_06_27_10_57_31, 25.89, 54.50
2023_06_27_10_57_33, 25.87, 54.52
2023_06_27_10_57_35, 25.91, 54.56
2023_06_27_10_57_37, 25.91, 54.49
2023_06_27_10_57_39, 25.94, 54.42
2023_06_27_10_57_41, 25.96, 54.43
2023_06_27_10_57_43, 25.96, 54.44
2023_06_27_10_57_45, 25.99, 54.38
2023_06_27_10_57_47, 25.96, 54.35
2023_06_27_10_57_49, 25.96, 54.32
2023_06_27_10_57_51, 25.95, 54.37
2023_06_27_10_57_53, 25.95, 54.45
2023_06_27_10_57_55, 25.95, 54.51
2023_06_27_10_57_57, 25.99, 54.51
2023_06_27_10_57_59, 26.02, 54.43
2023_06_27_10_58_01, 26.02, 54.35
2023_06_27_10_58_03, 26.05, 54.27
2023_06_27_10_58_05, 26.04, 54.22
2023_06_27_10_58_07, 26.08, 54.99
2023_06_27_10_58_09, 26.08, 55.20
2023_06_27_10_58_12, 26.09, 54.97
2023_06_27_10_58_14, 26.14, 54.61
2023_06_27_10_58_16, 26.14, 54.33
2023_06_27_10_58_18, 26.12, 54.17
2023_06_27_10_58_20, 26.14, 54.08
2023_06_27_10_58_22, 26.16, 54.03
2023_06_27_10_58_24, 26.16, 53.91
2023_06_27_10_58_26, 26.15, 53.84
2023_06_27_10_58_28, 26.16, 53.86
2023_06_27_10_58_30, 26.18, 53.79
2023_06_27_10_58_32, 26.12, 53.79
2023_06_27_10_58_34, 26.16, 54.36
2023_06_27_10_58_36, 26.15, 54.32
2023_06_27_10_58_38, 26.11, 54.22
2023_06_27_10_58_40, 26.09, 54.18
2023_06_27_10_58_42, 26.14, 54.14
2023_06_27_10_58_44, 26.09, 54.09
2023_06_27_10_58_46, 26.08, 54.12
2023_06_27_10_58_48, 26.05, 54.13
2023_06_27_10_58_50, 26.06, 54.12
2023_06_27_10_58_52, 26.04, 54.14
2023_06_27_10_58_54, 26.01, 54.20
2023_06_27_10_58_56, 26.04, 54.22
2023_06_27_10_58_58, 26.05, 54.28
2023_06_27_10_59_00, 26.05, 54.26
2023_06_27_10_59_02, 26.09, 54.29
2023_06_27_10_59_04, 26.09, 54.31
