Timestamp, Temperature[°C], Humidity[%]
2023_06_27_12_16_47, 26.43, 53.18
2023_06_27_12_16_49, 26.43, 53.22
2023_06_27_12_16_52, 26.43, 53.23
2023_06_27_12_16_54, 26.42, 53.24
2023_06_27_12_16_56, 26.46, 53.22
2023_06_27_12_16_58, 26.45, 53.16
2023_06_27_12_17_00, 26.45, 53.17
2023_06_27_12_17_02, 26.45, 53.21
2023_06_27_12_17_04, 26.50, 53.19
2023_06_27_12_17_06, 26.46, 53.39
2023_06_27_12_17_08, 26.49, 53.80
2023_06_27_12_17_10, 26.49, 53.95
2023_06_27_12_17_12, 26.47, 53.87
2023_06_27_12_17_14, 26.47, 53.54
2023_06_27_12_17_16, 26.47, 53.59
2023_06_27_12_17_18, 26.47, 53.44
2023_06_27_12_17_20, 26.49, 53.37
2023_06_27_12_17_22, 26.52, 53.21
2023_06_27_12_17_24, 26.47, 53.13
2023_06_27_12_17_26, 26.46, 53.07
2023_06_27_12_17_28, 26.42, 52.97
2023_06_27_12_17_30, 26.45, 52.99
2023_06_27_12_17_32, 26.42, 53.01
2023_06_27_12_17_34, 26.42, 53.10
2023_06_27_12_17_36, 26.40, 53.21
2023_06_27_12_17_38, 26.42, 53.20
2023_06_27_12_17_40, 26.38, 53.24
2023_06_27_12_17_42, 26.38, 53.34
2023_06_27_12_17_44, 26.34, 53.28
2023_06_27_12_17_46, 26.26, 53.64
2023_06_27_12_17_48, 26.25, 54.09
2023_06_27_12_17_50, 26.24, 53.93
2023_06_27_12_17_52, 26.25, 54.09
2023_06_27_12_17_54, 26.25, 54.26
2023_06_27_12_17_56, 26.24, 54.17
2023_06_27_12_17_58, 26.22, 53.99
2023_06_27_12_18_00, 26.19, 53.94
2023_06_27_12_18_02, 26.16, 53.89
2023_06_27_12_18_04, 26.19, 53.89
2023_06_27_12_18_06, 26.21, 53.84
2023_06_27_12_18_08, 26.22, 53.81
2023_06_27_12_18_10, 26.22, 53.75
2023_06_27_12_18_12, 26.21, 53.73
2023_06_27_12_18_15, 26.26, 53.68
2023_06_27_12_18_17, 26.28, 53.70
2023_06_27_12_18_19, 26.31, 53.62
2023_06_27_12_18_21, 26.29, 53.61
2023_06_27_12_18_23, 26.28, 53.57
2023_06_27_12_18_25, 26.26, 53.44
2023_06_27_12_18_27, 26.26, 53.43
2023_06_27_12_18_29, 26.25, 53.38
2023_06_27_12_18_31, 26.24, 53.43
2023_06_27_12_18_33, 26.24, 53.49
2023_06_27_12_18_35, 26.26, 53.48
2023_06_27_12_18_37, 26.26, 53.53
2023_06_27_12_18_39, 26.26, 53.49
2023_06_27_12_18_41, 26.25, 53.52
2023_06_27_12_18_43, 26.24, 53.51
2023_06_27_12_18_45, 26.21, 53.44
2023_06_27_12_18_47, 26.24, 53.46
2023_06_27_12_18_49, 26.18, 53.53
2023_06_27_12_18_51, 26.15, 53.58
2023_06_27_12_18_53, 26.12, 53.65
2023_06_27_12_18_55, 26.11, 53.73
2023_06_27_12_18_57, 26.12, 53.77
2023_06_27_12_18_59, 26.15, 53.85
2023_06_27_12_19_01, 26.21, 53.87
2023_06_27_12_19_03, 26.21, 53.81
2023_06_27_12_19_05, 26.22, 53.80
2023_06_27_12_19_07, 26.24, 53.75
2023_06_27_12_19_09, 26.28, 53.69
2023_06_27_12_19_11, 26.24, 53.65
2023_06_27_12_19_13, 26.24, 53.67
2023_06_27_12_19_15, 26.26, 53.68
2023_06_27_12_19_17, 26.31, 53.60
2023_06_27_12_19_19, 26.34, 53.56
2023_06_27_12_19_21, 26.36, 53.45
2023_06_27_12_19_23, 26.40, 53.37
2023_06_27_12_19_25, 26.39, 53.27
2023_06_27_12_19_27, 26.39, 53.33
2023_06_27_12_19_29, 26.39, 53.29
2023_06_27_12_19_31, 26.35, 53.28
2023_06_27_12_19_33, 26.32, 53.32
2023_06_27_12_19_35, 26.32, 53.30
2023_06_27_12_19_37, 26.32, 53.31
2023_06_27_12_19_39, 26.29, 53.31
2023_06_27_12_19_41, 26.26, 53.42
2023_06_27_12_19_43, 26.31, 53.40
2023_06_27_12_19_45, 26.34, 53.39
2023_06_27_12_19_47, 26.31, 53.40
2023_06_27_12_19_49, 26.32, 53.51
2023_06_27_12_19_52, 26.36, 53.68
2023_06_27_12_19_54, 26.32, 53.71
2023_06_27_12_19_56, 26.29, 53.62
2023_06_27_12_19_58, 26.32, 53.58
2023_06_27_12_20_00, 26.32, 53.60
2023_06_27_12_20_02, 26.36, 53.56
2023_06_27_12_20_04, 26.42, 53.47
2023_06_27_12_20_06, 26.43, 53.46
2023_06_27_12_20_08, 26.47, 53.34
2023_06_27_12_20_10, 26.50, 53.24
2023_06_27_12_20_12, 26.50, 53.15
