Timestamp, Temperature[°C], Humidity[%]
2023_07_04_11_41_51, 23.91, 61.01
2023_07_04_11_41_53, 23.90, 61.04
2023_07_04_11_41_55, 23.90, 61.13
2023_07_04_11_41_57, 23.91, 61.12
2023_07_04_11_41_59, 23.94, 61.07
2023_07_04_11_42_01, 23.94, 61.01
2023_07_04_11_42_03, 23.94, 61.07
2023_07_04_11_42_05, 23.95, 61.00
2023_07_04_11_42_07, 23.95, 60.85
2023_07_04_11_42_09, 24.00, 60.83
2023_07_04_11_42_11, 24.04, 60.75
2023_07_04_11_42_13, 24.04, 60.61
2023_07_04_11_42_15, 24.07, 60.54
2023_07_04_11_42_17, 24.13, 60.50
2023_07_04_11_42_19, 24.20, 60.39
2023_07_04_11_42_21, 24.21, 60.25
2023_07_04_11_42_23, 24.27, 60.15
2023_07_04_11_42_25, 24.31, 59.99
2023_07_04_11_42_27, 24.34, 59.91
2023_07_04_11_42_29, 24.35, 59.85
2023_07_04_11_42_31, 24.35, 59.74
2023_07_04_11_42_33, 24.31, 59.87
2023_07_04_11_42_35, 24.32, 59.84
2023_07_04_11_42_37, 24.30, 59.73
2023_07_04_11_42_39, 24.31, 59.76
2023_07_04_11_42_41, 24.34, 59.69
2023_07_04_11_42_43, 24.34, 59.67
2023_07_04_11_42_45, 24.34, 59.71
2023_07_04_11_42_47, 24.35, 59.75
2023_07_04_11_42_49, 24.36, 59.97
2023_07_04_11_42_51, 24.35, 60.16
2023_07_04_11_42_53, 24.35, 60.16
2023_07_04_11_42_55, 24.34, 60.13
2023_07_04_11_42_57, 24.34, 59.91
2023_07_04_11_42_59, 24.32, 59.75
2023_07_04_11_43_01, 24.30, 59.69
2023_07_04_11_43_04, 24.27, 59.61
2023_07_04_11_43_06, 24.28, 59.65
2023_07_04_11_43_08, 24.25, 59.76
2023_07_04_11_43_10, 24.27, 60.07
2023_07_04_11_43_12, 24.27, 60.24
2023_07_04_11_43_14, 24.27, 60.18
2023_07_04_11_43_16, 24.28, 60.18
2023_07_04_11_43_18, 24.28, 60.06
2023_07_04_11_43_20, 24.25, 59.93
2023_07_04_11_43_22, 24.25, 59.90
2023_07_04_11_43_24, 24.24, 59.85
2023_07_04_11_43_26, 24.25, 59.86
2023_07_04_11_43_28, 24.23, 59.83
2023_07_04_11_43_30, 24.20, 59.81
2023_07_04_11_43_32, 24.17, 59.79
2023_07_04_11_43_34, 24.18, 59.86
2023_07_04_11_43_36, 24.17, 59.89
2023_07_04_11_43_38, 24.17, 59.91
2023_07_04_11_43_40, 24.17, 59.91
2023_07_04_11_43_42, 24.13, 59.97
2023_07_04_11_43_44, 24.14, 60.02
2023_07_04_11_43_46, 24.14, 60.07
2023_07_04_11_43_48, 24.13, 60.07
2023_07_04_11_43_50, 24.13, 60.08
2023_07_04_11_43_52, 24.13, 60.11
2023_07_04_11_43_54, 24.14, 60.20
2023_07_04_11_43_56, 24.13, 60.13
2023_07_04_11_43_58, 24.11, 60.12
2023_07_04_11_44_00, 24.14, 60.39
2023_07_04_11_44_02, 24.14, 60.70
2023_07_04_11_44_04, 24.11, 60.53
2023_07_04_11_44_06, 24.10, 60.40
2023_07_04_11_44_08, 24.10, 60.33
2023_07_04_11_44_10, 24.08, 60.26
2023_07_04_11_44_12, 24.11, 60.22
2023_07_04_11_44_14, 24.08, 60.21
2023_07_04_11_44_16, 24.11, 60.29
2023_07_04_11_44_18, 24.10, 60.24
2023_07_04_11_44_21, 24.11, 60.24
2023_07_04_11_44_23, 24.11, 60.26
2023_07_04_11_44_25, 24.10, 60.24
2023_07_04_11_44_27, 24.07, 60.19
2023_07_04_11_44_29, 24.07, 60.28
2023_07_04_11_44_31, 24.04, 60.30
2023_07_04_11_44_33, 24.03, 60.31
2023_07_04_11_44_35, 24.00, 60.37
2023_07_04_11_44_37, 23.97, 60.40
2023_07_04_11_44_39, 23.97, 60.46
2023_07_04_11_44_41, 23.98, 60.50
2023_07_04_11_44_43, 24.01, 60.52
2023_07_04_11_44_45, 24.01, 60.53
2023_07_04_11_44_47, 24.03, 60.46
2023_07_04_11_44_49, 24.03, 60.48
2023_07_04_11_44_51, 24.04, 60.46
2023_07_04_11_44_53, 24.03, 60.52
2023_07_04_11_44_55, 24.04, 60.56
2023_07_04_11_44_57, 24.07, 60.69
2023_07_04_11_44_59, 24.15, 60.66
2023_07_04_11_45_01, 24.18, 60.51
2023_07_04_11_45_03, 24.24, 60.42
2023_07_04_11_45_05, 24.30, 60.27
2023_07_04_11_45_07, 24.34, 60.07
2023_07_04_11_45_09, 24.35, 59.90
2023_07_04_11_45_11, 24.35, 59.77
2023_07_04_11_45_13, 24.36, 59.59
2023_07_04_11_45_15, 24.34, 59.66
2023_07_04_11_45_17, 24.31, 59.66
2023_07_04_11_45_19, 24.30, 59.65
2023_07_04_11_45_21, 24.25, 59.66
2023_07_04_11_45_23, 24.24, 59.63
2023_07_04_11_45_25, 24.21, 59.67
2023_07_04_11_45_27, 24.17, 59.68
2023_07_04_11_45_29, 24.13, 59.76
2023_07_04_11_45_31, 24.11, 59.83
2023_07_04_11_45_33, 24.08, 59.86
2023_07_04_11_45_35, 24.07, 59.95
2023_07_04_11_45_37, 24.05, 60.01
2023_07_04_11_45_39, 24.03, 60.11
2023_07_04_11_45_41, 24.04, 60.12
2023_07_04_11_45_43, 24.04, 60.30
2023_07_04_11_45_45, 24.00, 60.44
