Timestamp, Temperature[°C], Humidity[%]
2023_07_04_10_33_41, 23.80, 60.97
2023_07_04_10_33_43, 23.78, 60.91
2023_07_04_10_33_45, 23.81, 60.84
2023_07_04_10_33_47, 23.87, 60.82
2023_07_04_10_33_49, 23.85, 60.74
2023_07_04_10_33_51, 23.88, 60.65
2023_07_04_10_33_53, 23.95, 60.63
2023_07_04_10_33_55, 23.95, 60.53
2023_07_04_10_33_57, 23.93, 60.41
2023_07_04_10_34_00, 23.90, 60.33
2023_07_04_10_34_02, 23.91, 60.31
2023_07_04_10_34_04, 23.90, 60.29
2023_07_04_10_34_06, 23.84, 60.33
2023_07_04_10_34_08, 23.81, 60.43
2023_07_04_10_34_10, 23.76, 60.60
2023_07_04_10_34_12, 23.73, 60.73
2023_07_04_10_34_14, 23.69, 60.77
2023_07_04_10_34_16, 23.69, 60.85
2023_07_04_10_34_18, 23.69, 60.92
2023_07_04_10_34_20, 23.64, 60.94
2023_07_04_10_34_22, 23.62, 61.03
2023_07_04_10_34_24, 23.62, 61.07
2023_07_04_10_34_26, 23.67, 61.11
2023_07_04_10_34_28, 23.64, 61.05
2023_07_04_10_34_30, 23.64, 61.13
2023_07_04_10_34_32, 23.66, 61.11
2023_07_04_10_34_34, 23.67, 61.08
2023_07_04_10_34_36, 23.67, 61.08
2023_07_04_10_34_38, 23.66, 61.10
2023_07_04_10_34_40, 23.64, 61.08
2023_07_04_10_34_42, 23.67, 61.06
2023_07_04_10_34_44, 23.70, 61.06
2023_07_04_10_34_46, 23.72, 61.07
2023_07_04_10_34_48, 23.70, 61.03
2023_07_04_10_34_50, 23.72, 61.00
2023_07_04_10_34_52, 23.73, 60.96
2023_07_04_10_34_54, 23.74, 60.94
2023_07_04_10_34_56, 23.80, 60.94
2023_07_04_10_34_58, 23.77, 60.90
2023_07_04_10_35_00, 23.78, 60.82
2023_07_04_10_35_02, 23.84, 60.81
2023_07_04_10_35_04, 23.84, 60.77
2023_07_04_10_35_06, 23.90, 60.73
2023_07_04_10_35_08, 23.90, 60.69
2023_07_04_10_35_10, 23.88, 60.59
2023_07_04_10_35_12, 23.91, 60.54
2023_07_04_10_35_14, 23.91, 60.50
2023_07_04_10_35_16, 23.95, 60.48
2023_07_04_10_35_18, 23.94, 60.47
2023_07_04_10_35_20, 23.93, 60.43
2023_07_04_10_35_22, 23.90, 60.40
2023_07_04_10_35_24, 23.90, 60.42
2023_07_04_10_35_26, 23.91, 60.40
2023_07_04_10_35_28, 23.88, 60.40
2023_07_04_10_35_30, 23.87, 60.44
2023_07_04_10_35_32, 23.90, 60.40
2023_07_04_10_35_34, 23.88, 60.51
2023_07_04_10_35_36, 23.84, 60.54
2023_07_04_10_35_38, 23.83, 60.57
2023_07_04_10_35_40, 23.81, 60.60
2023_07_04_10_35_42, 23.81, 60.63
2023_07_04_10_35_44, 23.78, 60.67
2023_07_04_10_35_46, 23.78, 60.69
2023_07_04_10_35_48, 23.73, 60.70
2023_07_04_10_35_50, 23.74, 60.73
2023_07_04_10_35_52, 23.76, 60.78
2023_07_04_10_35_54, 23.80, 60.87
2023_07_04_10_35_57, 23.83, 60.81
2023_07_04_10_35_59, 23.83, 60.79
2023_07_04_10_36_01, 23.88, 60.77
2023_07_04_10_36_03, 23.88, 60.68
2023_07_04_10_36_05, 23.93, 60.67
2023_07_04_10_36_07, 23.93, 60.55
2023_07_04_10_36_09, 23.90, 60.49
2023_07_04_10_36_11, 23.91, 60.44
2023_07_04_10_36_13, 23.94, 60.48
2023_07_04_10_36_15, 23.97, 60.45
2023_07_04_10_36_17, 23.97, 60.37
2023_07_04_10_36_19, 24.00, 60.32
2023_07_04_10_36_21, 24.07, 60.31
2023_07_04_10_36_23, 24.08, 60.23
2023_07_04_10_36_25, 24.11, 60.16
2023_07_04_10_36_27, 24.07, 60.07
2023_07_04_10_36_29, 24.03, 60.03
2023_07_04_10_36_31, 24.04, 60.05
2023_07_04_10_36_33, 24.03, 60.13
2023_07_04_10_36_35, 24.01, 60.12
2023_07_04_10_36_37, 24.01, 60.12
2023_07_04_10_36_39, 23.95, 60.08
2023_07_04_10_36_41, 23.97, 60.22
2023_07_04_10_36_43, 23.95, 60.21
2023_07_04_10_36_45, 23.98, 60.20
2023_07_04_10_36_47, 24.00, 60.24
2023_07_04_10_36_49, 24.04, 60.20
2023_07_04_10_36_51, 24.07, 60.22
2023_07_04_10_36_53, 24.15, 60.20
2023_07_04_10_36_55, 24.13, 60.16
2023_07_04_10_36_57, 24.18, 60.07
2023_07_04_10_36_59, 24.24, 60.03
2023_07_04_10_37_01, 24.25, 59.95
2023_07_04_10_37_03, 24.30, 59.91
2023_07_04_10_37_05, 24.34, 59.79
2023_07_04_10_37_07, 24.31, 59.71
2023_07_04_10_37_09, 24.28, 59.58
2023_07_04_10_37_12, 24.25, 59.50
2023_07_04_10_37_14, 24.28, 59.46
2023_07_04_10_37_16, 24.24, 59.48
2023_07_04_10_37_18, 24.27, 59.50
2023_07_04_10_37_20, 24.30, 59.53
2023_07_04_10_37_22, 24.27, 59.54
2023_07_04_10_37_24, 24.23, 59.52
2023_07_04_10_37_26, 24.21, 59.48
2023_07_04_10_37_28, 24.18, 59.53
2023_07_04_10_37_30, 24.15, 59.62
2023_07_04_10_37_32, 24.15, 59.63
2023_07_04_10_37_34, 24.14, 59.75
2023_07_04_10_37_36, 24.10, 59.80
2023_07_04_10_37_38, 24.04, 59.81
2023_07_04_10_37_40, 23.97, 60.02
2023_07_04_10_37_42, 23.88, 60.21
2023_07_04_10_37_44, 23.87, 60.33
2023_07_04_10_37_46, 23.93, 60.45
2023_07_04_10_37_48, 23.91, 60.50
2023_07_04_10_37_50, 23.91, 60.51
2023_07_04_10_37_52, 23.93, 60.55
2023_07_04_10_37_54, 23.85, 60.49
2023_07_04_10_37_56, 23.85, 60.51
2023_07_04_10_37_58, 23.85, 60.51
2023_07_04_10_38_00, 23.87, 60.53
2023_07_04_10_38_02, 23.87, 60.54
2023_07_04_10_38_04, 23.91, 60.59
2023_07_04_10_38_06, 23.95, 60.52
2023_07_04_10_38_08, 23.98, 60.50
2023_07_04_10_38_10, 24.00, 60.44
2023_07_04_10_38_12, 24.04, 60.50
2023_07_04_10_38_14, 24.05, 60.56
2023_07_04_10_38_16, 24.04, 60.52
2023_07_04_10_38_18, 24.03, 60.39
2023_07_04_10_38_20, 23.98, 60.28
2023_07_04_10_38_22, 23.95, 60.27
2023_07_04_10_38_24, 23.98, 60.34
2023_07_04_10_38_26, 24.00, 60.32
2023_07_04_10_38_28, 23.95, 60.33
2023_07_04_10_38_30, 23.94, 60.38
2023_07_04_10_38_33, 23.93, 60.39
2023_07_04_10_38_35, 23.90, 60.45
2023_07_04_10_38_37, 23.84, 60.47
2023_07_04_10_38_39, 23.83, 60.57
2023_07_04_10_38_41, 23.84, 60.63
2023_07_04_10_38_43, 23.81, 60.67
2023_07_04_10_38_45, 23.81, 60.71
2023_07_04_10_38_47, 23.80, 60.71
2023_07_04_10_38_49, 23.80, 60.75
2023_07_04_10_38_51, 23.83, 60.74
2023_07_04_10_38_53, 23.84, 60.78
2023_07_04_10_38_55, 23.90, 60.78
2023_07_04_10_38_57, 23.87, 60.71
2023_07_04_10_38_59, 23.88, 60.70
2023_07_04_10_39_01, 23.85, 60.65
2023_07_04_10_39_03, 23.85, 60.66
2023_07_04_10_39_05, 23.84, 60.66
2023_07_04_10_39_07, 23.85, 60.67
2023_07_04_10_39_09, 23.83, 60.70
2023_07_04_10_39_11, 23.85, 60.70
2023_07_04_10_39_13, 23.84, 60.74
2023_07_04_10_39_15, 23.85, 60.72
2023_07_04_10_39_17, 23.88, 60.78
2023_07_04_10_39_19, 23.91, 60.76
2023_07_04_10_39_21, 23.90, 60.69
2023_07_04_10_39_23, 23.91, 60.67
2023_07_04_10_39_25, 23.93, 60.69
2023_07_04_10_39_27, 23.93, 60.73
2023_07_04_10_39_29, 23.93, 60.69
2023_07_04_10_39_31, 23.91, 60.64
2023_07_04_10_39_33, 23.90, 60.57
2023_07_04_10_39_35, 23.90, 60.57
2023_07_04_10_39_37, 23.90, 60.56
2023_07_04_10_39_39, 23.87, 60.56
2023_07_04_10_39_41, 23.85, 60.57
2023_07_04_10_39_43, 23.88, 60.61
2023_07_04_10_39_45, 23.85, 60.61
2023_07_04_10_39_47, 23.84, 60.64
2023_07_04_10_39_49, 23.83, 60.62
2023_07_04_10_39_51, 23.81, 60.65
2023_07_04_10_39_53, 23.84, 60.68
2023_07_04_10_39_55, 23.83, 60.74
2023_07_04_10_39_58, 23.83, 60.86
2023_07_04_10_40_00, 23.81, 60.83
2023_07_04_10_40_02, 23.80, 60.79
2023_07_04_10_40_04, 23.80, 60.77
2023_07_04_10_40_06, 23.81, 60.74
2023_07_04_10_40_08, 23.80, 60.73
2023_07_04_10_40_10, 23.78, 60.68
2023_07_04_10_40_12, 23.80, 60.71
2023_07_04_10_40_14, 23.78, 60.67
2023_07_04_10_40_16, 23.84, 60.72
2023_07_04_10_40_18, 23.87, 60.73
2023_07_04_10_40_20, 23.90, 60.66
2023_07_04_10_40_22, 23.90, 60.66
2023_07_04_10_40_24, 23.87, 60.60
2023_07_04_10_40_26, 23.85, 60.54
2023_07_04_10_40_28, 23.84, 60.54
2023_07_04_10_40_30, 23.83, 60.59
2023_07_04_10_40_32, 23.83, 60.60
2023_07_04_10_40_34, 23.80, 60.63
2023_07_04_10_40_36, 23.78, 60.66
2023_07_04_10_40_38, 23.76, 60.68
2023_07_04_10_40_40, 23.77, 60.73
2023_07_04_10_40_42, 23.73, 60.74
