Timestamp, Temperature[°C], Humidity[%]
2023_06_30_10_48_50, 24.65, 58.21
2023_06_30_10_48_53, 24.59, 58.18
2023_06_30_10_48_55, 24.62, 58.19
2023_06_30_10_48_57, 24.61, 58.18
2023_06_30_10_48_59, 24.59, 58.19
2023_06_30_10_49_01, 24.56, 58.14
2023_06_30_10_49_03, 24.56, 58.21
2023_06_30_10_49_05, 24.54, 58.24
2023_06_30_10_49_07, 24.56, 58.34
2023_06_30_10_49_09, 24.52, 58.34
2023_06_30_10_49_11, 24.56, 58.35
2023_06_30_10_49_13, 24.58, 58.34
2023_06_30_10_49_15, 24.62, 58.35
2023_06_30_10_49_17, 24.62, 58.32
2023_06_30_10_49_19, 24.62, 58.29
2023_06_30_10_49_21, 24.61, 58.22
2023_06_30_10_49_23, 24.61, 58.19
2023_06_30_10_49_25, 24.66, 58.14
2023_06_30_10_49_27, 24.71, 58.15
2023_06_30_10_49_29, 24.74, 58.10
2023_06_30_10_49_31, 24.75, 58.12
2023_06_30_10_49_33, 24.82, 58.08
2023_06_30_10_49_35, 24.85, 58.04
2023_06_30_10_49_37, 24.83, 57.92
2023_06_30_10_49_39, 24.83, 57.84
2023_06_30_10_49_41, 24.82, 57.83
2023_06_30_10_49_43, 24.78, 57.77
2023_06_30_10_49_45, 24.79, 57.76
2023_06_30_10_49_47, 24.78, 57.83
2023_06_30_10_49_49, 24.72, 57.82
2023_06_30_10_49_51, 24.74, 57.85
2023_06_30_10_49_53, 24.72, 57.85
2023_06_30_10_49_55, 24.72, 57.87
2023_06_30_10_49_57, 24.72, 57.87
2023_06_30_10_49_59, 24.74, 57.86
2023_06_30_10_50_01, 24.74, 57.85
2023_06_30_10_50_03, 24.74, 57.90
2023_06_30_10_50_05, 24.74, 57.92
2023_06_30_10_50_07, 24.71, 57.87
2023_06_30_10_50_09, 24.78, 57.87
2023_06_30_10_50_11, 24.83, 57.88
2023_06_30_10_50_13, 24.89, 57.87
2023_06_30_10_50_15, 24.89, 57.76
2023_06_30_10_50_17, 24.86, 57.65
2023_06_30_10_50_19, 24.89, 57.56
2023_06_30_10_50_21, 24.86, 57.52
2023_06_30_10_50_23, 24.86, 57.54
2023_06_30_10_50_25, 24.82, 57.51
2023_06_30_10_50_27, 24.76, 57.51
2023_06_30_10_50_29, 24.75, 57.57
2023_06_30_10_50_32, 24.74, 57.67
2023_06_30_10_50_34, 24.71, 57.73
2023_06_30_10_50_36, 24.66, 57.79
2023_06_30_10_50_38, 24.68, 57.77
2023_06_30_10_50_40, 24.65, 57.81
2023_06_30_10_50_42, 24.66, 57.85
2023_06_30_10_50_44, 24.68, 57.86
2023_06_30_10_50_46, 24.66, 57.87
2023_06_30_10_50_48, 24.64, 57.88
2023_06_30_10_50_50, 24.64, 57.92
2023_06_30_10_50_52, 24.66, 58.32
2023_06_30_10_50_54, 24.71, 58.41
2023_06_30_10_50_56, 24.69, 58.32
2023_06_30_10_50_58, 24.69, 58.37
2023_06_30_10_51_00, 24.69, 58.18
2023_06_30_10_51_02, 24.66, 58.17
2023_06_30_10_51_04, 24.65, 58.48
2023_06_30_10_51_06, 24.66, 58.53
2023_06_30_10_51_08, 24.69, 58.71
2023_06_30_10_51_10, 24.66, 58.92
2023_06_30_10_51_12, 24.66, 58.72
2023_06_30_10_51_14, 24.65, 58.47
2023_06_30_10_51_16, 24.62, 58.28
2023_06_30_10_51_18, 24.62, 58.12
2023_06_30_10_51_20, 24.62, 58.19
2023_06_30_10_51_22, 24.61, 58.22
2023_06_30_10_51_24, 24.62, 58.19
2023_06_30_10_51_26, 24.61, 58.14
2023_06_30_10_51_28, 24.56, 58.21
2023_06_30_10_51_30, 24.54, 58.24
2023_06_30_10_51_32, 24.54, 58.26
2023_06_30_10_51_34, 24.51, 58.33
2023_06_30_10_51_36, 24.48, 58.36
2023_06_30_10_51_38, 24.48, 58.34
2023_06_30_10_51_40, 24.51, 58.41
2023_06_30_10_51_42, 24.54, 58.48
2023_06_30_10_51_44, 24.52, 58.53
2023_06_30_10_51_46, 24.56, 58.50
2023_06_30_10_51_48, 24.55, 58.43
2023_06_30_10_51_50, 24.56, 58.40
2023_06_30_10_51_52, 24.56, 58.33
2023_06_30_10_51_54, 24.55, 58.29
2023_06_30_10_51_56, 24.56, 58.29
2023_06_30_10_51_58, 24.58, 58.26
2023_06_30_10_52_00, 24.56, 58.21
2023_06_30_10_52_02, 24.56, 58.25
2023_06_30_10_52_04, 24.58, 58.23
2023_06_30_10_52_07, 24.59, 58.27
2023_06_30_10_52_09, 24.61, 58.19
2023_06_30_10_52_11, 24.59, 58.15
2023_06_30_10_52_13, 24.59, 58.15
2023_06_30_10_52_15, 24.61, 58.10
2023_06_30_10_52_17, 24.61, 58.11
2023_06_30_10_52_19, 24.62, 58.16
2023_06_30_10_52_21, 24.64, 58.10
2023_06_30_10_52_23, 24.62, 58.11
2023_06_30_10_52_25, 24.62, 58.07
2023_06_30_10_52_27, 24.62, 58.08
2023_06_30_10_52_29, 24.62, 58.10
2023_06_30_10_52_31, 24.64, 58.12
2023_06_30_10_52_33, 24.62, 58.09
2023_06_30_10_52_35, 24.66, 58.06
2023_06_30_10_52_37, 24.66, 58.06
2023_06_30_10_52_39, 24.66, 58.08
2023_06_30_10_52_41, 24.66, 58.06
2023_06_30_10_52_43, 24.68, 58.01
2023_06_30_10_52_45, 24.71, 57.93
2023_06_30_10_52_47, 24.72, 57.93
2023_06_30_10_52_49, 24.75, 57.90
2023_06_30_10_52_51, 24.78, 58.29
2023_06_30_10_52_53, 24.79, 58.81
2023_06_30_10_52_55, 24.85, 58.72
2023_06_30_10_52_57, 24.83, 58.47
2023_06_30_10_52_59, 24.82, 58.33
2023_06_30_10_53_01, 24.81, 58.09
2023_06_30_10_53_03, 24.81, 57.97
2023_06_30_10_53_05, 24.81, 57.96
2023_06_30_10_53_07, 24.79, 57.98
2023_06_30_10_53_09, 24.76, 57.94
2023_06_30_10_53_11, 24.76, 57.92
2023_06_30_10_53_13, 24.76, 57.87
2023_06_30_10_53_15, 24.75, 57.79
2023_06_30_10_53_17, 24.76, 57.76
2023_06_30_10_53_19, 24.74, 57.78
2023_06_30_10_53_21, 24.72, 57.76
2023_06_30_10_53_23, 24.66, 57.81
2023_06_30_10_53_25, 24.69, 57.84
2023_06_30_10_53_27, 24.66, 57.85
2023_06_30_10_53_29, 24.66, 57.86
2023_06_30_10_53_31, 24.66, 57.88
2023_06_30_10_53_33, 24.64, 57.88
2023_06_30_10_53_35, 24.65, 57.92
2023_06_30_10_53_37, 24.62, 57.96
2023_06_30_10_53_40, 24.61, 57.97
2023_06_30_10_53_42, 24.62, 57.97
2023_06_30_10_53_44, 24.61, 57.97
2023_06_30_10_53_46, 24.59, 58.01
2023_06_30_10_53_48, 24.58, 58.07
2023_06_30_10_53_50, 24.56, 58.10
2023_06_30_10_53_52, 24.55, 58.12
2023_06_30_10_53_54, 24.59, 58.14
2023_06_30_10_53_56, 24.62, 58.17
2023_06_30_10_53_58, 24.61, 58.17
2023_06_30_10_54_00, 24.64, 58.12
2023_06_30_10_54_02, 24.64, 58.12
2023_06_30_10_54_04, 24.61, 58.06
2023_06_30_10_54_06, 24.61, 58.12
2023_06_30_10_54_08, 24.62, 58.11
2023_06_30_10_54_10, 24.61, 58.16
2023_06_30_10_54_12, 24.62, 58.16
