Timestamp, Temperature[°C], Humidity[%]
2023_06_30_12_08_42, 24.87, 59.26
2023_06_30_12_08_44, 24.87, 59.17
2023_06_30_12_08_46, 24.87, 59.14
2023_06_30_12_08_48, 24.90, 59.12
2023_06_30_12_08_50, 24.89, 59.08
2023_06_30_12_08_52, 24.89, 59.00
2023_06_30_12_08_54, 24.89, 59.02
2023_06_30_12_08_56, 24.89, 59.02
2023_06_30_12_08_58, 24.90, 58.98
2023_06_30_12_09_00, 24.90, 58.99
2023_06_30_12_09_02, 24.90, 58.97
2023_06_30_12_09_04, 24.89, 58.98
2023_06_30_12_09_06, 24.93, 58.97
2023_06_30_12_09_08, 24.83, 58.97
2023_06_30_12_09_10, 24.83, 58.99
2023_06_30_12_09_12, 24.85, 59.04
2023_06_30_12_09_14, 24.82, 59.11
2023_06_30_12_09_16, 24.79, 59.10
2023_06_30_12_09_18, 24.81, 59.11
2023_06_30_12_09_20, 24.82, 59.12
2023_06_30_12_09_22, 24.81, 59.15
2023_06_30_12_09_24, 24.78, 59.19
2023_06_30_12_09_26, 24.76, 59.22
2023_06_30_12_09_28, 24.81, 59.36
2023_06_30_12_09_30, 24.89, 59.45
2023_06_30_12_09_32, 24.87, 59.33
2023_06_30_12_09_34, 24.87, 59.21
2023_06_30_12_09_36, 24.87, 59.09
2023_06_30_12_09_38, 24.87, 59.09
2023_06_30_12_09_40, 24.89, 59.04
2023_06_30_12_09_43, 24.87, 58.99
2023_06_30_12_09_45, 24.87, 58.97
2023_06_30_12_09_47, 24.87, 59.01
2023_06_30_12_09_49, 24.86, 59.03
2023_06_30_12_09_51, 24.85, 58.97
2023_06_30_12_09_54, 24.83, 59.04
2023_06_30_12_09_56, 24.82, 59.05
2023_06_30_12_09_58, 24.81, 59.08
2023_06_30_12_10_00, 24.81, 59.17
2023_06_30_12_10_02, 24.85, 59.23
2023_06_30_12_10_04, 24.86, 59.22
2023_06_30_12_10_06, 24.87, 59.15
2023_06_30_12_10_09, 24.92, 59.09
2023_06_30_12_10_11, 24.92, 59.04
2023_06_30_12_10_13, 24.95, 59.05
2023_06_30_12_10_15, 25.02, 58.96
2023_06_30_12_10_17, 25.00, 58.88
2023_06_30_12_10_19, 25.00, 58.84
2023_06_30_12_10_21, 24.99, 58.76
2023_06_30_12_10_23, 24.95, 58.73
2023_06_30_12_10_25, 24.92, 58.79
2023_06_30_12_10_27, 24.90, 58.84
2023_06_30_12_10_29, 24.93, 58.87
2023_06_30_12_10_31, 24.96, 58.90
2023_06_30_12_10_33, 24.96, 58.84
