Timestamp, Temperature[°C], Humidity[%]
2023_06_29_10_30_52, 23.62, 50.01
2023_06_29_10_30_54, 23.64, 49.97
2023_06_29_10_30_56, 23.66, 49.88
2023_06_29_10_30_59, 23.66, 49.86
2023_06_29_10_31_01, 23.69, 49.79
2023_06_29_10_31_03, 23.69, 49.79
2023_06_29_10_31_05, 23.76, 49.77
2023_06_29_10_31_07, 23.81, 49.83
2023_06_29_10_31_09, 23.81, 49.79
2023_06_29_10_31_11, 23.80, 49.69
2023_06_29_10_31_13, 23.78, 49.64
2023_06_29_10_31_15, 23.74, 49.52
2023_06_29_10_31_17, 23.74, 49.64
2023_06_29_10_31_19, 23.73, 49.69
2023_06_29_10_31_21, 23.70, 49.66
2023_06_29_10_31_23, 23.72, 49.74
2023_06_29_10_31_25, 23.70, 49.61
2023_06_29_10_31_27, 23.69, 49.65
2023_06_29_10_31_29, 23.70, 49.65
2023_06_29_10_31_31, 23.70, 49.65
2023_06_29_10_31_33, 23.72, 49.65
2023_06_29_10_31_35, 23.72, 49.63
2023_06_29_10_31_37, 23.73, 49.62
2023_06_29_10_31_39, 23.76, 49.61
2023_06_29_10_31_41, 23.78, 49.57
2023_06_29_10_31_43, 23.80, 49.57
2023_06_29_10_31_45, 23.83, 49.56
2023_06_29_10_31_47, 23.84, 49.49
2023_06_29_10_31_49, 23.85, 49.46
2023_06_29_10_31_51, 23.84, 49.39
2023_06_29_10_31_53, 23.84, 49.41
2023_06_29_10_31_55, 23.88, 49.64
2023_06_29_10_31_57, 23.93, 49.72
2023_06_29_10_31_59, 23.90, 49.67
2023_06_29_10_32_01, 23.90, 49.51
2023_06_29_10_32_03, 23.87, 49.41
2023_06_29_10_32_05, 23.87, 49.47
2023_06_29_10_32_07, 23.84, 49.41
2023_06_29_10_32_09, 23.83, 49.47
2023_06_29_10_32_11, 23.85, 49.48
2023_06_29_10_32_13, 23.84, 49.48
2023_06_29_10_32_15, 23.84, 49.59
2023_06_29_10_32_17, 23.87, 49.51
2023_06_29_10_32_19, 23.90, 49.41
2023_06_29_10_32_21, 23.94, 49.43
2023_06_29_10_32_23, 23.95, 49.37
2023_06_29_10_32_25, 23.93, 49.29
