Timestamp, Temperature[°C], Humidity[%]
2023_06_29_11_50_43, 24.18, 47.69
2023_06_29_11_50_45, 24.17, 47.71
2023_06_29_11_50_47, 24.15, 47.64
2023_06_29_11_50_49, 24.17, 47.65
2023_06_29_11_50_51, 24.14, 47.62
2023_06_29_11_50_53, 24.15, 47.65
2023_06_29_11_50_55, 24.18, 47.64
2023_06_29_11_50_57, 24.24, 47.65
2023_06_29_11_50_59, 24.28, 47.64
2023_06_29_11_51_01, 24.32, 47.61
2023_06_29_11_51_03, 24.31, 47.52
2023_06_29_11_51_05, 24.31, 47.42
2023_06_29_11_51_07, 24.28, 47.35
2023_06_29_11_51_09, 24.27, 47.36
2023_06_29_11_51_11, 24.28, 47.34
2023_06_29_11_51_13, 24.28, 47.30
2023_06_29_11_51_15, 24.28, 47.31
2023_06_29_11_51_17, 24.28, 47.34
2023_06_29_11_51_19, 24.28, 47.28
2023_06_29_11_51_21, 24.28, 47.31
2023_06_29_11_51_23, 24.28, 47.33
2023_06_29_11_51_25, 24.24, 47.34
2023_06_29_11_51_27, 24.25, 47.42
2023_06_29_11_51_29, 24.20, 47.57
2023_06_29_11_51_31, 24.18, 47.58
2023_06_29_11_51_33, 24.15, 47.66
2023_06_29_11_51_35, 24.11, 47.72
2023_06_29_11_51_37, 24.11, 47.90
2023_06_29_11_51_39, 24.15, 48.22
2023_06_29_11_51_41, 24.20, 48.26
2023_06_29_11_51_43, 24.20, 48.62
2023_06_29_11_51_45, 24.18, 48.50
2023_06_29_11_51_47, 24.14, 48.23
2023_06_29_11_51_49, 24.10, 48.11
2023_06_29_11_51_51, 24.05, 47.98
2023_06_29_11_51_53, 24.05, 47.93
2023_06_29_11_51_56, 24.01, 47.88
2023_06_29_11_51_58, 24.00, 47.85
2023_06_29_11_52_00, 23.97, 47.92
2023_06_29_11_52_02, 23.95, 47.88
2023_06_29_11_52_04, 23.95, 47.92
2023_06_29_11_52_06, 23.94, 47.93
2023_06_29_11_52_08, 23.95, 47.92
2023_06_29_11_52_10, 23.98, 47.98
2023_06_29_11_52_12, 24.01, 47.99
2023_06_29_11_52_14, 24.03, 48.00
2023_06_29_11_52_16, 24.05, 47.98
2023_06_29_11_52_18, 24.08, 47.96
2023_06_29_11_52_20, 24.10, 47.92
2023_06_29_11_52_22, 24.11, 47.91
2023_06_29_11_52_24, 24.13, 47.91
2023_06_29_11_52_26, 24.15, 47.80
2023_06_29_11_52_28, 24.14, 47.79
2023_06_29_11_52_30, 24.14, 47.83
2023_06_29_11_52_32, 24.14, 47.83
2023_06_29_11_52_34, 24.11, 47.76
2023_06_29_11_52_36, 24.11, 47.73
2023_06_29_11_52_38, 24.11, 47.68
2023_06_29_11_52_40, 24.13, 47.69
2023_06_29_11_52_42, 24.10, 47.69
2023_06_29_11_52_44, 24.13, 47.75
2023_06_29_11_52_46, 24.13, 47.79
2023_06_29_11_52_48, 24.13, 47.84
2023_06_29_11_52_50, 24.13, 47.76
2023_06_29_11_52_52, 24.15, 47.78
2023_06_29_11_52_54, 24.17, 47.78
2023_06_29_11_52_56, 24.18, 47.77
2023_06_29_11_52_58, 24.18, 47.71
2023_06_29_11_53_00, 24.18, 47.71
2023_06_29_11_53_02, 24.24, 47.65
2023_06_29_11_53_04, 24.23, 47.56
2023_06_29_11_53_06, 24.20, 47.53
2023_06_29_11_53_08, 24.20, 47.54
2023_06_29_11_53_10, 24.18, 47.49
2023_06_29_11_53_12, 24.17, 47.48
2023_06_29_11_53_14, 24.18, 47.52
2023_06_29_11_53_16, 24.14, 47.50
2023_06_29_11_53_18, 24.15, 47.65
2023_06_29_11_53_20, 24.18, 48.22
2023_06_29_11_53_22, 24.21, 48.18
2023_06_29_11_53_24, 24.21, 48.03
2023_06_29_11_53_26, 24.23, 47.89
2023_06_29_11_53_28, 24.23, 47.72
2023_06_29_11_53_30, 24.23, 47.57
2023_06_29_11_53_32, 24.23, 47.47
2023_06_29_11_53_34, 24.20, 47.49
2023_06_29_11_53_36, 24.17, 47.45
2023_06_29_11_53_38, 24.13, 47.41
2023_06_29_11_53_40, 24.13, 47.47
2023_06_29_11_53_42, 24.13, 47.48
2023_06_29_11_53_44, 24.14, 47.42
2023_06_29_11_53_46, 24.15, 47.50
2023_06_29_11_53_48, 24.10, 47.51
2023_06_29_11_53_50, 24.13, 47.52
2023_06_29_11_53_53, 24.15, 47.51
2023_06_29_11_53_55, 24.13, 47.52
2023_06_29_11_53_57, 24.14, 47.49
2023_06_29_11_53_59, 24.13, 47.47
2023_06_29_11_54_01, 24.13, 47.50
2023_06_29_11_54_03, 24.14, 47.54
2023_06_29_11_54_05, 24.14, 47.49
2023_06_29_11_54_07, 24.14, 47.51
2023_06_29_11_54_09, 24.18, 47.53
2023_06_29_11_54_11, 24.23, 47.48
2023_06_29_11_54_13, 24.20, 47.41
2023_06_29_11_54_15, 24.18, 47.45
2023_06_29_11_54_17, 24.14, 47.36
2023_06_29_11_54_19, 24.14, 47.43
2023_06_29_11_54_21, 24.10, 47.41
2023_06_29_11_54_23, 24.05, 47.46
2023_06_29_11_54_25, 24.10, 47.55
2023_06_29_11_54_27, 24.10, 47.55
2023_06_29_11_54_29, 24.08, 47.62
