Timestamp, Temperature[�C], Humidity[%]
2023_07_18_11_20_34, 26.22, 65.08
2023_07_18_11_20_36, 26.19, 65.04
2023_07_18_11_20_38, 26.19, 65.06
2023_07_18_11_20_40, 26.22, 65.10
2023_07_18_11_20_42, 26.26, 65.05
2023_07_18_11_20_44, 26.25, 65.04
2023_07_18_11_20_46, 26.26, 65.05
2023_07_18_11_20_48, 26.28, 65.01
2023_07_18_11_20_50, 26.29, 65.01
2023_07_18_11_20_52, 26.29, 64.96
2023_07_18_11_20_54, 26.26, 64.94
2023_07_18_11_20_56, 26.24, 64.91
2023_07_18_11_20_58, 26.21, 64.97
2023_07_18_11_21_00, 26.21, 65.01
2023_07_18_11_21_02, 26.19, 65.06
2023_07_18_11_21_04, 26.21, 65.05
2023_07_18_11_21_06, 26.18, 65.05
2023_07_18_11_21_08, 26.21, 65.06
2023_07_18_11_21_10, 26.24, 65.08
2023_07_18_11_21_12, 26.25, 65.03
2023_07_18_11_21_14, 26.25, 64.98
2023_07_18_11_21_17, 26.29, 65.21
2023_07_18_11_21_19, 26.31, 65.43
2023_07_18_11_21_21, 26.31, 65.29
2023_07_18_11_21_23, 26.29, 65.15
2023_07_18_11_21_25, 26.25, 65.08
2023_07_18_11_21_27, 26.19, 65.00
2023_07_18_11_21_29, 26.16, 65.02
2023_07_18_11_21_31, 26.16, 65.11
2023_07_18_11_21_33, 26.16, 65.18
2023_07_18_11_21_35, 26.16, 65.17
2023_07_18_11_21_37, 26.19, 65.17
2023_07_18_11_21_39, 26.18, 65.20
2023_07_18_11_21_41, 26.18, 65.23
2023_07_18_11_21_43, 26.15, 65.26
2023_07_18_11_21_45, 26.12, 65.38
2023_07_18_11_21_47, 26.14, 65.37
2023_07_18_11_21_49, 26.14, 65.43
2023_07_18_11_21_51, 26.12, 65.46
2023_07_18_11_21_53, 26.15, 65.44
2023_07_18_11_21_55, 26.11, 65.41
2023_07_18_11_21_57, 26.14, 65.45
2023_07_18_11_21_59, 26.12, 65.42
2023_07_18_11_22_01, 26.12, 65.45
2023_07_18_11_22_03, 26.16, 65.41
2023_07_18_11_22_05, 26.18, 65.36
2023_07_18_11_22_07, 26.18, 65.31
2023_07_18_11_22_09, 26.18, 65.37
2023_07_18_11_22_11, 26.22, 65.33
2023_07_18_11_22_13, 26.26, 65.26
2023_07_18_11_22_15, 26.28, 65.13
2023_07_18_11_22_17, 26.28, 65.07
2023_07_18_11_22_19, 26.26, 65.02
2023_07_18_11_22_21, 26.28, 65.04
2023_07_18_11_22_23, 26.26, 65.05
2023_07_18_11_22_25, 26.25, 65.07
2023_07_18_11_22_27, 26.22, 65.06
2023_07_18_11_22_29, 26.21, 65.09
2023_07_18_11_22_31, 26.18, 65.10
2023_07_18_11_22_34, 26.15, 65.20
2023_07_18_11_22_36, 26.16, 65.26
2023_07_18_11_22_38, 26.14, 65.32
2023_07_18_11_22_40, 26.11, 65.35
2023_07_18_11_22_42, 26.09, 65.44
2023_07_18_11_22_44, 26.08, 65.49
2023_07_18_11_22_46, 26.08, 65.55
2023_07_18_11_22_48, 26.06, 65.61
2023_07_18_11_22_50, 26.06, 65.65
2023_07_18_11_22_52, 26.08, 65.73
2023_07_18_11_22_54, 26.09, 65.63
2023_07_18_11_22_56, 26.06, 65.62
2023_07_18_11_22_58, 26.09, 65.64
2023_07_18_11_23_00, 26.11, 65.67
2023_07_18_11_23_02, 26.15, 65.60
2023_07_18_11_23_04, 26.16, 65.56
2023_07_18_11_23_06, 26.16, 65.51
2023_07_18_11_23_08, 26.18, 65.42
2023_07_18_11_23_10, 26.18, 65.40
2023_07_18_11_23_12, 26.19, 65.45
2023_07_18_11_23_14, 26.14, 65.49
2023_07_18_11_23_16, 26.12, 65.54
2023_07_18_11_23_18, 26.09, 65.52
2023_07_18_11_23_20, 26.12, 65.60
2023_07_18_11_23_22, 26.12, 65.57
2023_07_18_11_23_24, 26.12, 65.57
2023_07_18_11_23_26, 26.11, 65.53
2023_07_18_11_23_28, 26.12, 65.55
2023_07_18_11_23_30, 26.14, 65.54
2023_07_18_11_23_32, 26.14, 65.52
2023_07_18_11_23_34, 26.15, 65.52
2023_07_18_11_23_36, 26.16, 65.50
2023_07_18_11_23_39, 26.16, 65.43
2023_07_18_11_23_41, 26.16, 65.42
2023_07_18_11_23_43, 26.21, 65.41
2023_07_18_11_23_45, 26.21, 65.36
2023_07_18_11_23_47, 26.25, 65.30
2023_07_18_11_23_49, 26.24, 65.50
2023_07_18_11_23_51, 26.31, 65.69
2023_07_18_11_23_53, 26.28, 65.53
2023_07_18_11_23_55, 26.25, 65.40
2023_07_18_11_23_57, 26.25, 65.36
2023_07_18_11_23_59, 26.24, 65.28
2023_07_18_11_24_01, 26.22, 65.28
2023_07_18_11_24_03, 26.22, 65.31
2023_07_18_11_24_05, 26.21, 65.34
2023_07_18_11_24_07, 26.22, 65.38
2023_07_18_11_24_09, 26.22, 65.34
2023_07_18_11_24_11, 26.29, 65.29
2023_07_18_11_24_13, 26.29, 65.27
2023_07_18_11_24_15, 26.28, 65.21
2023_07_18_11_24_17, 26.31, 65.14
2023_07_18_11_24_19, 26.26, 65.12
2023_07_18_11_24_21, 26.24, 65.12
2023_07_18_11_24_23, 26.25, 65.08
2023_07_18_11_24_25, 26.26, 65.12
2023_07_18_11_24_27, 26.25, 65.00
2023_07_18_11_24_29, 26.24, 65.08
2023_07_18_11_24_31, 26.29, 65.07
2023_07_18_11_24_33, 26.25, 65.09
2023_07_18_11_24_35, 26.28, 65.02
2023_07_18_11_24_37, 26.28, 65.06
2023_07_18_11_24_39, 26.26, 65.06
2023_07_18_11_24_41, 26.25, 65.12
2023_07_18_11_24_43, 26.22, 65.19
2023_07_18_11_24_45, 26.21, 65.19
2023_07_18_11_24_47, 26.18, 65.26
2023_07_18_11_24_49, 26.18, 65.30
2023_07_18_11_24_51, 26.16, 65.35
2023_07_18_11_24_54, 26.18, 65.37
2023_07_18_11_24_56, 26.18, 65.46
2023_07_18_11_24_58, 26.19, 65.59
2023_07_18_11_25_00, 26.24, 65.66
2023_07_18_11_25_02, 26.25, 65.62
2023_07_18_11_25_04, 26.26, 65.47
2023_07_18_11_25_06, 26.25, 65.36
2023_07_18_11_25_08, 26.21, 65.35
2023_07_18_11_25_10, 26.19, 65.32
2023_07_18_11_25_12, 26.18, 65.34
2023_07_18_11_25_14, 26.18, 65.35
2023_07_18_11_25_16, 26.15, 65.39
2023_07_18_11_25_18, 26.18, 65.44
2023_07_18_11_25_20, 26.18, 65.44
2023_07_18_11_25_22, 26.16, 65.46
2023_07_18_11_25_24, 26.24, 65.47
2023_07_18_11_25_26, 26.28, 65.40
2023_07_18_11_25_28, 26.25, 65.34
2023_07_18_11_25_30, 26.25, 65.24
2023_07_18_11_25_32, 26.24, 65.22
2023_07_18_11_25_35, 26.26, 65.23
2023_07_18_11_25_37, 26.22, 65.21
2023_07_18_11_25_39, 26.24, 65.17
2023_07_18_11_25_41, 26.26, 65.21
2023_07_18_11_25_43, 26.31, 65.16
2023_07_18_11_25_45, 26.31, 65.07
2023_07_18_11_25_47, 26.31, 65.11
2023_07_18_11_25_49, 26.29, 65.03
2023_07_18_11_25_51, 26.28, 65.03
2023_07_18_11_25_53, 26.26, 65.06
2023_07_18_11_25_55, 26.24, 65.08
2023_07_18_11_25_57, 26.22, 65.11
2023_07_18_11_25_59, 26.26, 65.13
2023_07_18_11_26_01, 26.18, 65.13
2023_07_18_11_26_03, 26.21, 65.23
2023_07_18_11_26_05, 26.18, 65.25
2023_07_18_11_26_07, 26.18, 65.27
2023_07_18_11_26_09, 26.16, 65.32
2023_07_18_11_26_11, 26.14, 65.33
2023_07_18_11_26_13, 26.12, 65.35
2023_07_18_11_26_15, 26.16, 65.38
2023_07_18_11_26_17, 26.15, 65.34
2023_07_18_11_26_19, 26.21, 65.35
2023_07_18_11_26_21, 26.28, 65.23
2023_07_18_11_26_23, 26.32, 65.10
2023_07_18_11_26_25, 26.32, 65.05
2023_07_18_11_26_27, 26.29, 65.07
2023_07_18_11_26_30, 26.25, 65.06
2023_07_18_11_26_32, 26.21, 65.08
2023_07_18_11_26_34, 26.22, 65.11
2023_07_18_11_26_36, 26.21, 65.13
2023_07_18_11_26_38, 26.21, 65.15
2023_07_18_11_26_40, 26.19, 65.18
2023_07_18_11_26_42, 26.19, 65.21
2023_07_18_11_26_44, 26.19, 65.15
2023_07_18_11_26_46, 26.21, 65.09
2023_07_18_11_26_48, 26.25, 65.08
2023_07_18_11_26_50, 26.28, 65.02
2023_07_18_11_26_52, 26.29, 64.97
2023_07_18_11_26_54, 26.28, 64.88
2023_07_18_11_26_56, 26.28, 64.83
2023_07_18_11_26_58, 26.25, 64.85
2023_07_18_11_27_00, 26.22, 64.86
2023_07_18_11_27_02, 26.24, 64.98
2023_07_18_11_27_04, 26.24, 65.04
2023_07_18_11_27_06, 26.26, 65.05
2023_07_18_11_27_08, 26.25, 65.09
2023_07_18_11_27_10, 26.25, 65.17
2023_07_18_11_27_12, 26.22, 65.24
2023_07_18_11_27_14, 26.18, 65.36
2023_07_18_11_27_16, 26.19, 65.41
2023_07_18_11_27_19, 26.24, 65.66
2023_07_18_11_27_21, 26.25, 65.98
2023_07_18_11_27_23, 26.29, 65.93
2023_07_18_11_27_25, 26.28, 65.98
2023_07_18_11_27_27, 26.29, 65.69
2023_07_18_11_27_29, 26.26, 65.45
2023_07_18_11_27_31, 26.22, 65.35
2023_07_18_11_27_33, 26.22, 65.37
2023_07_18_11_27_35, 26.19, 65.40
2023_07_18_11_27_37, 26.18, 65.44
2023_07_18_11_27_39, 26.18, 65.49
2023_07_18_11_27_41, 26.18, 65.55
2023_07_18_11_27_43, 26.16, 65.59
2023_07_18_11_27_45, 26.11, 65.59
2023_07_18_11_27_47, 26.08, 65.65
2023_07_18_11_27_49, 26.09, 65.74
2023_07_18_11_27_51, 26.09, 65.78
2023_07_18_11_27_53, 26.11, 65.79
2023_07_18_11_27_55, 26.12, 65.75
2023_07_18_11_27_57, 26.14, 65.70
2023_07_18_11_27_59, 26.16, 65.65
2023_07_18_11_28_01, 26.19, 65.58
2023_07_18_11_28_03, 26.21, 65.55
2023_07_18_11_28_05, 26.21, 65.46
2023_07_18_11_28_07, 26.25, 65.36
2023_07_18_11_28_09, 26.28, 65.33
2023_07_18_11_28_11, 26.28, 65.28
2023_07_18_11_28_13, 26.28, 65.21
2023_07_18_11_28_15, 26.28, 65.23
2023_07_18_11_28_17, 26.28, 65.26
2023_07_18_11_28_19, 26.26, 65.21
2023_07_18_11_28_21, 26.25, 65.22
2023_07_18_11_28_23, 26.22, 65.19
2023_07_18_11_28_25, 26.22, 65.23
2023_07_18_11_28_27, 26.25, 65.26
2023_07_18_11_28_29, 26.25, 65.26
2023_07_18_11_28_31, 26.22, 65.22
2023_07_18_11_28_33, 26.19, 65.25
2023_07_18_11_28_35, 26.18, 65.29
2023_07_18_11_28_37, 26.18, 65.35
2023_07_18_11_28_39, 26.16, 65.38
2023_07_18_11_28_41, 26.16, 65.35
2023_07_18_11_28_44, 26.16, 65.38
2023_07_18_11_28_46, 26.14, 65.34
2023_07_18_11_28_48, 26.14, 65.42
2023_07_18_11_28_50, 26.11, 65.48
2023_07_18_11_28_52, 26.19, 65.46
2023_07_18_11_28_54, 26.15, 65.44
2023_07_18_11_28_56, 26.15, 65.49
2023_07_18_11_28_58, 26.14, 65.52
2023_07_18_11_29_00, 26.14, 65.58
2023_07_18_11_29_02, 26.11, 65.62
2023_07_18_11_29_04, 26.11, 65.63
2023_07_18_11_29_06, 26.12, 65.68
2023_07_18_11_29_08, 26.15, 65.71
