Timestamp, Temperature[�C], Humidity[%]
2023_07_18_10_40_55, 25.99, 63.89
2023_07_18_10_40_57, 25.92, 63.81
2023_07_18_10_40_59, 25.94, 63.83
2023_07_18_10_41_01, 25.94, 63.84
2023_07_18_10_41_03, 25.94, 63.81
2023_07_18_10_41_05, 25.91, 63.79
2023_07_18_10_41_07, 25.89, 63.81
2023_07_18_10_41_09, 25.94, 63.87
2023_07_18_10_41_11, 25.89, 63.87
2023_07_18_10_41_13, 25.92, 63.90
2023_07_18_10_41_15, 25.99, 63.87
2023_07_18_10_41_17, 25.96, 63.86
2023_07_18_10_41_19, 25.96, 63.81
2023_07_18_10_41_21, 25.98, 63.81
2023_07_18_10_41_23, 25.96, 63.78
2023_07_18_10_41_25, 25.98, 63.75
2023_07_18_10_41_27, 25.96, 63.74
2023_07_18_10_41_29, 25.98, 63.77
2023_07_18_10_41_31, 25.99, 63.77
2023_07_18_10_41_33, 25.99, 63.75
2023_07_18_10_41_35, 26.04, 63.77
2023_07_18_10_41_37, 26.11, 63.69
2023_07_18_10_41_39, 26.12, 63.61
2023_07_18_10_41_41, 26.11, 63.51
2023_07_18_10_41_43, 26.12, 63.38
2023_07_18_10_41_45, 26.11, 63.37
2023_07_18_10_41_47, 26.11, 63.34
2023_07_18_10_41_49, 26.11, 63.37
2023_07_18_10_41_51, 26.05, 63.39
2023_07_18_10_41_54, 26.05, 63.44
2023_07_18_10_41_56, 26.05, 63.45
2023_07_18_10_41_58, 26.04, 63.54
2023_07_18_10_42_00, 26.02, 63.52
2023_07_18_10_42_02, 25.99, 63.59
2023_07_18_10_42_04, 25.96, 63.63
2023_07_18_10_42_06, 25.98, 63.68
2023_07_18_10_42_08, 25.95, 63.74
2023_07_18_10_42_10, 25.91, 63.80
2023_07_18_10_42_12, 25.89, 63.82
2023_07_18_10_42_14, 25.94, 63.87
2023_07_18_10_42_16, 25.92, 63.89
2023_07_18_10_42_18, 25.98, 63.94
2023_07_18_10_42_20, 25.92, 63.88
2023_07_18_10_42_22, 25.96, 64.01
2023_07_18_10_42_24, 25.95, 63.97
2023_07_18_10_42_26, 25.98, 63.90
2023_07_18_10_42_28, 25.95, 63.90
2023_07_18_10_42_30, 25.99, 63.88
2023_07_18_10_42_32, 25.99, 63.81
2023_07_18_10_42_34, 26.02, 63.79
2023_07_18_10_42_36, 26.02, 63.83
2023_07_18_10_42_38, 26.04, 63.79
2023_07_18_10_42_40, 26.04, 63.71
2023_07_18_10_42_42, 25.99, 63.72
2023_07_18_10_42_44, 26.02, 63.84
2023_07_18_10_42_46, 25.99, 64.16
2023_07_18_10_42_48, 25.98, 64.14
2023_07_18_10_42_50, 25.96, 64.06
2023_07_18_10_42_52, 25.95, 64.12
2023_07_18_10_42_54, 25.98, 64.25
2023_07_18_10_42_56, 26.01, 64.32
2023_07_18_10_42_58, 26.04, 64.31
2023_07_18_10_43_00, 26.04, 64.23
2023_07_18_10_43_02, 26.06, 64.12
2023_07_18_10_43_04, 26.08, 63.94
2023_07_18_10_43_06, 26.14, 63.81
2023_07_18_10_43_08, 26.15, 63.66
2023_07_18_10_43_10, 26.18, 63.60
2023_07_18_10_43_12, 26.16, 63.47
2023_07_18_10_43_14, 26.16, 63.43
2023_07_18_10_43_16, 26.18, 63.88
2023_07_18_10_43_18, 26.18, 63.93
2023_07_18_10_43_20, 26.14, 63.79
2023_07_18_10_43_22, 26.14, 63.66
2023_07_18_10_43_25, 26.12, 63.56
2023_07_18_10_43_27, 26.11, 63.54
2023_07_18_10_43_29, 26.09, 63.51
2023_07_18_10_43_31, 26.09, 63.54
2023_07_18_10_43_33, 26.08, 63.56
2023_07_18_10_43_35, 26.11, 63.53
2023_07_18_10_43_37, 26.09, 63.54
2023_07_18_10_43_39, 26.06, 63.55
2023_07_18_10_43_41, 26.04, 63.58
2023_07_18_10_43_43, 26.01, 63.61
2023_07_18_10_43_45, 26.02, 63.61
2023_07_18_10_43_47, 26.01, 63.70
2023_07_18_10_43_49, 25.98, 63.73
2023_07_18_10_43_51, 26.01, 63.81
2023_07_18_10_43_53, 25.99, 63.82
2023_07_18_10_43_55, 25.99, 63.83
2023_07_18_10_43_57, 25.99, 63.84
