Timestamp, Temperature[°C], Humidity[%]
2023_06_28_10_55_26, 25.61, 54.70
2023_06_28_10_55_28, 25.63, 54.63
2023_06_28_10_55_30, 25.64, 54.65
2023_06_28_10_55_32, 25.65, 54.62
2023_06_28_10_55_34, 25.61, 54.60
2023_06_28_10_55_36, 25.63, 54.61
2023_06_28_10_55_38, 25.63, 54.64
2023_06_28_10_55_40, 25.63, 54.66
2023_06_28_10_55_42, 25.63, 54.65
2023_06_28_10_55_44, 25.63, 54.67
2023_06_28_10_55_46, 25.70, 54.65
2023_06_28_10_55_48, 25.68, 54.59
2023_06_28_10_55_50, 25.67, 54.62
2023_06_28_10_55_52, 25.68, 54.60
2023_06_28_10_55_54, 25.67, 54.54
2023_06_28_10_55_56, 25.63, 54.56
2023_06_28_10_55_58, 25.63, 54.57
2023_06_28_10_56_01, 25.61, 54.69
2023_06_28_10_56_03, 25.58, 54.68
2023_06_28_10_56_05, 25.57, 54.70
2023_06_28_10_56_07, 25.58, 54.77
2023_06_28_10_56_09, 25.55, 54.82
2023_06_28_10_56_11, 25.57, 54.96
2023_06_28_10_56_13, 25.60, 55.10
2023_06_28_10_56_15, 25.63, 55.15
2023_06_28_10_56_17, 25.63, 55.12
2023_06_28_10_56_19, 25.61, 55.11
2023_06_28_10_56_21, 25.58, 55.05
2023_06_28_10_56_23, 25.58, 55.52
2023_06_28_10_56_25, 25.58, 55.40
2023_06_28_10_56_27, 25.58, 55.29
2023_06_28_10_56_29, 25.53, 55.20
2023_06_28_10_56_31, 25.54, 55.17
2023_06_28_10_56_33, 25.51, 55.12
2023_06_28_10_56_35, 25.51, 55.13
2023_06_28_10_56_37, 25.51, 55.16
2023_06_28_10_56_39, 25.55, 55.19
2023_06_28_10_56_41, 25.55, 55.19
2023_06_28_10_56_43, 25.55, 55.19
2023_06_28_10_56_45, 25.55, 55.19
2023_06_28_10_56_47, 25.55, 55.19
2023_06_28_10_56_49, 25.55, 55.19
2023_06_28_10_56_51, 25.55, 55.19
2023_06_28_10_56_53, 25.55, 55.19
2023_06_28_10_56_55, 25.55, 55.19
2023_06_28_10_56_57, 25.55, 55.19
2023_06_28_10_56_59, 25.55, 55.19
2023_06_28_10_57_01, 25.55, 55.19
2023_06_28_10_57_03, 25.55, 55.19
2023_06_28_10_57_05, 25.55, 55.19
2023_06_28_10_57_07, 25.55, 55.19
2023_06_28_10_57_09, 25.55, 55.19
2023_06_28_10_57_11, 25.55, 55.19
2023_06_28_10_57_13, 25.55, 55.19
2023_06_28_10_57_15, 25.55, 55.19
2023_06_28_10_57_17, 25.55, 55.19
2023_06_28_10_57_19, 25.55, 55.19
2023_06_28_10_57_21, 25.55, 55.19
2023_06_28_10_57_23, 25.55, 55.19
2023_06_28_10_57_25, 25.55, 55.19
2023_06_28_10_57_27, 25.55, 55.19
2023_06_28_10_57_29, 25.55, 55.19
2023_06_28_10_57_31, 25.55, 55.19
2023_06_28_10_57_33, 25.55, 55.19
2023_06_28_10_57_35, 25.55, 55.19
2023_06_28_10_57_37, 25.55, 55.19
2023_06_28_10_57_39, 25.55, 55.19
2023_06_28_10_57_41, 25.55, 55.19
2023_06_28_10_57_43, 25.55, 55.19
2023_06_28_10_57_45, 25.55, 55.19
2023_06_28_10_57_47, 25.55, 55.19
2023_06_28_10_57_49, 25.55, 55.19
2023_06_28_10_57_51, 25.55, 55.19
2023_06_28_10_57_53, 25.55, 55.19
2023_06_28_10_57_55, 25.55, 55.19
2023_06_28_10_57_57, 25.55, 55.19
2023_06_28_10_57_59, 25.55, 55.19
2023_06_28_10_58_01, 25.55, 55.19
2023_06_28_10_58_04, 25.55, 55.19
2023_06_28_10_58_06, 25.55, 55.19
2023_06_28_10_58_08, 25.55, 55.19
2023_06_28_10_58_10, 25.55, 55.19
2023_06_28_10_58_12, 25.55, 55.19
2023_06_28_10_58_14, 25.55, 55.19
2023_06_28_10_58_16, 25.55, 55.19
2023_06_28_10_58_18, 25.55, 55.19
2023_06_28_10_58_20, 25.55, 55.19
2023_06_28_10_58_22, 25.55, 55.19
2023_06_28_10_58_24, 25.55, 55.19
2023_06_28_10_58_26, 25.55, 55.19
2023_06_28_10_58_28, 25.55, 55.19
2023_06_28_10_58_30, 25.55, 55.19
2023_06_28_10_58_32, 25.55, 55.19
2023_06_28_10_58_34, 25.55, 55.19
2023_06_28_10_58_36, 25.55, 55.19
2023_06_28_10_58_38, 25.55, 55.19
2023_06_28_10_58_40, 25.55, 55.19
2023_06_28_10_58_42, 25.55, 55.19
2023_06_28_10_58_44, 25.55, 55.19
2023_06_28_10_58_46, 25.55, 55.19
2023_06_28_10_58_48, 25.55, 55.19
2023_06_28_10_58_50, 25.55, 55.19
2023_06_28_10_58_52, 25.55, 55.19
2023_06_28_10_58_54, 25.55, 55.19
2023_06_28_10_58_56, 25.55, 55.19
2023_06_28_10_58_58, 25.55, 55.19
2023_06_28_10_59_00, 25.55, 55.19
2023_06_28_10_59_02, 25.55, 55.19
2023_06_28_10_59_04, 25.55, 55.19
