Timestamp, Temperature[°C], Humidity[%]
2023_06_28_12_31_41, -45.00, 0.00
2023_06_28_12_31_43, -45.00, 0.00
2023_06_28_12_31_45, -45.00, 0.00
2023_06_28_12_31_48, -45.00, 0.00
2023_06_28_12_31_50, -45.00, 0.00
2023_06_28_12_31_52, -45.00, 0.00
2023_06_28_12_31_54, -45.00, 0.00
2023_06_28_12_31_56, -45.00, 0.00
2023_06_28_12_31_58, -45.00, 0.00
2023_06_28_12_32_00, -45.00, 0.00
2023_06_28_12_32_02, -45.00, 0.00
2023_06_28_12_32_04, -45.00, 0.00
2023_06_28_12_32_06, -45.00, 0.00
2023_06_28_12_32_08, -45.00, 0.00
2023_06_28_12_32_10, -45.00, 0.00
2023_06_28_12_32_12, -45.00, 0.00
2023_06_28_12_32_14, -45.00, 0.00
2023_06_28_12_32_16, -45.00, 0.00
2023_06_28_12_32_18, -45.00, 0.00
2023_06_28_12_32_20, -45.00, 0.00
2023_06_28_12_32_22, -45.00, 0.00
2023_06_28_12_32_24, -45.00, 0.00
2023_06_28_12_32_26, -45.00, 0.00
2023_06_28_12_32_28, -45.00, 0.00
2023_06_28_12_32_30, -45.00, 0.00
2023_06_28_12_32_32, -45.00, 0.00
2023_06_28_12_32_34, -45.00, 0.00
2023_06_28_12_32_36, -45.00, 0.00
2023_06_28_12_32_38, -45.00, 0.00
2023_06_28_12_32_40, -45.00, 0.00
2023_06_28_12_32_42, -45.00, 0.00
2023_06_28_12_32_44, -45.00, 0.00
2023_06_28_12_32_46, -45.00, 0.00
2023_06_28_12_32_48, -45.00, 0.00
2023_06_28_12_32_50, -45.00, 0.00
2023_06_28_12_32_52, -45.00, 0.00
2023_06_28_12_32_54, -45.00, 0.00
2023_06_28_12_32_56, -45.00, 0.00
2023_06_28_12_32_58, -45.00, 0.00
2023_06_28_12_33_00, -45.00, 0.00
2023_06_28_12_33_02, -45.00, 0.00
2023_06_28_12_33_04, -45.00, 0.00
2023_06_28_12_33_06, -45.00, 0.00
2023_06_28_12_33_08, -45.00, 0.00
2023_06_28_12_33_10, -45.00, 0.00
2023_06_28_12_33_12, -45.00, 0.00
2023_06_28_12_33_14, -45.00, 0.00
2023_06_28_12_33_16, -45.00, 0.00
2023_06_28_12_33_18, -45.00, 0.00
2023_06_28_12_33_20, -45.00, 0.00
2023_06_28_12_33_22, -45.00, 0.00
2023_06_28_12_33_24, -45.00, 0.00
2023_06_28_12_33_26, -45.00, 0.00
2023_06_28_12_33_29, -45.00, 0.00
2023_06_28_12_33_31, -45.00, 0.00
2023_06_28_12_33_33, -45.00, 0.00
2023_06_28_12_33_35, -45.00, 0.00
2023_06_28_12_33_37, -45.00, 0.00
2023_06_28_12_33_39, -45.00, 0.00
2023_06_28_12_33_41, -45.00, 0.00
2023_06_28_12_33_43, -45.00, 0.00
2023_06_28_12_33_45, -45.00, 0.00
2023_06_28_12_33_47, -45.00, 0.00
2023_06_28_12_33_49, -45.00, 0.00
2023_06_28_12_33_51, -45.00, 0.00
2023_06_28_12_33_53, -45.00, 0.00
2023_06_28_12_33_55, -45.00, 0.00
2023_06_28_12_33_57, -45.00, 0.00
2023_06_28_12_33_59, -45.00, 0.00
2023_06_28_12_34_01, -45.00, 0.00
2023_06_28_12_34_03, -45.00, 0.00
2023_06_28_12_34_05, -45.00, 0.00
2023_06_28_12_34_07, -45.00, 0.00
2023_06_28_12_34_09, -45.00, 0.00
2023_06_28_12_34_11, -45.00, 0.00
2023_06_28_12_34_13, -45.00, 0.00
2023_06_28_12_34_15, -45.00, 0.00
2023_06_28_12_34_17, -45.00, 0.00
2023_06_28_12_34_19, -45.00, 0.00
2023_06_28_12_34_21, -45.00, 0.00
2023_06_28_12_34_23, -45.00, 0.00
2023_06_28_12_34_25, -45.00, 0.00
2023_06_28_12_34_27, -45.00, 0.00
2023_06_28_12_34_29, -45.00, 0.00
2023_06_28_12_34_31, -45.00, 0.00
2023_06_28_12_34_33, -45.00, 0.00
2023_06_28_12_34_35, -45.00, 0.00
2023_06_28_12_34_37, -45.00, 0.00
2023_06_28_12_34_39, -45.00, 0.00
2023_06_28_12_34_41, -45.00, 0.00
2023_06_28_12_34_43, -45.00, 0.00
2023_06_28_12_34_45, -45.00, 0.00
2023_06_28_12_34_47, -45.00, 0.00
2023_06_28_12_34_49, -45.00, 0.00
2023_06_28_12_34_51, -45.00, 0.00
2023_06_28_12_34_53, -45.00, 0.00
2023_06_28_12_34_55, -45.00, 0.00
2023_06_28_12_34_57, -45.00, 0.00
2023_06_28_12_34_59, -45.00, 0.00
2023_06_28_12_35_01, -45.00, 0.00
2023_06_28_12_35_03, -45.00, 0.00
2023_06_28_12_35_05, -45.00, 0.00
2023_06_28_12_35_07, -45.00, 0.00
2023_06_28_12_35_09, -45.00, 0.00
2023_06_28_12_35_11, -45.00, 0.00
2023_06_28_12_35_13, -45.00, 0.00
2023_06_28_12_35_15, -45.00, 0.00
2023_06_28_12_35_17, -45.00, 0.00
2023_06_28_12_35_19, -45.00, 0.00
2023_06_28_12_35_21, -45.00, 0.00
2023_06_28_12_35_24, -45.00, 0.00
2023_06_28_12_35_26, -45.00, 0.00
2023_06_28_12_35_28, -45.00, 0.00
2023_06_28_12_35_30, -45.00, 0.00
2023_06_28_12_35_32, -45.00, 0.00
2023_06_28_12_35_34, -45.00, 0.00
2023_06_28_12_35_36, -45.00, 0.00
2023_06_28_12_35_38, -45.00, 0.00
2023_06_28_12_35_40, -45.00, 0.00
2023_06_28_12_35_42, -45.00, 0.00
2023_06_28_12_35_44, -45.00, 0.00
2023_06_28_12_35_46, -45.00, 0.00
2023_06_28_12_35_48, -45.00, 0.00
2023_06_28_12_35_50, -45.00, 0.00
2023_06_28_12_35_52, -45.00, 0.00
2023_06_28_12_35_54, -45.00, 0.00
2023_06_28_12_35_56, -45.00, 0.00
2023_06_28_12_35_58, -45.00, 0.00
2023_06_28_12_36_00, -45.00, 0.00
2023_06_28_12_36_02, -45.00, 0.00
2023_06_28_12_36_04, -45.00, 0.00
2023_06_28_12_36_06, -45.00, 0.00
2023_06_28_12_36_08, -45.00, 0.00
2023_06_28_12_36_10, -45.00, 0.00
2023_06_28_12_36_12, -45.00, 0.00
2023_06_28_12_36_14, -45.00, 0.00
2023_06_28_12_36_16, -45.00, 0.00
2023_06_28_12_36_18, -45.00, 0.00
2023_06_28_12_36_20, -45.00, 0.00
2023_06_28_12_36_22, -45.00, 0.00
2023_06_28_12_36_24, -45.00, 0.00
2023_06_28_12_36_26, -45.00, 0.00
2023_06_28_12_36_28, -45.00, 0.00
2023_06_28_12_36_30, -45.00, 0.00
2023_06_28_12_36_32, -45.00, 0.00
2023_06_28_12_36_34, -45.00, 0.00
2023_06_28_12_36_36, -45.00, 0.00
2023_06_28_12_36_38, -45.00, 0.00
2023_06_28_12_36_40, -45.00, 0.00
2023_06_28_12_36_42, -45.00, 0.00
2023_06_28_12_36_44, -45.00, 0.00
2023_06_28_12_36_46, -45.00, 0.00
2023_06_28_12_36_48, -45.00, 0.00
2023_06_28_12_36_50, -45.00, 0.00
2023_06_28_12_36_52, -45.00, 0.00
2023_06_28_12_36_54, -45.00, 0.00
2023_06_28_12_36_56, -45.00, 0.00
2023_06_28_12_36_58, -45.00, 0.00
2023_06_28_12_37_00, -45.00, 0.00
2023_06_28_12_37_02, -45.00, 0.00
2023_06_28_12_37_04, -45.00, 0.00
2023_06_28_12_37_06, -45.00, 0.00
2023_06_28_12_37_08, -45.00, 0.00
2023_06_28_12_37_10, -45.00, 0.00
2023_06_28_12_37_12, -45.00, 0.00
2023_06_28_12_37_14, -45.00, 0.00
2023_06_28_12_37_16, -45.00, 0.00
2023_06_28_12_37_18, -45.00, 0.00
2023_06_28_12_37_20, -45.00, 0.00
2023_06_28_12_37_22, -45.00, 0.00
2023_06_28_12_37_24, -45.00, 0.00
2023_06_28_12_37_26, -45.00, 0.00
2023_06_28_12_37_28, -45.00, 0.00
2023_06_28_12_37_30, -45.00, 0.00
2023_06_28_12_37_32, -45.00, 0.00
2023_06_28_12_37_34, -45.00, 0.00
2023_06_28_12_37_36, -45.00, 0.00
2023_06_28_12_37_38, -45.00, 0.00
2023_06_28_12_37_41, -45.00, 0.00
2023_06_28_12_37_43, -45.00, 0.00
2023_06_28_12_37_45, -45.00, 0.00
2023_06_28_12_37_47, -45.00, 0.00
2023_06_28_12_37_49, -45.00, 0.00
2023_06_28_12_37_51, -45.00, 0.00
2023_06_28_12_37_53, -45.00, 0.00
2023_06_28_12_37_55, -45.00, 0.00
2023_06_28_12_37_57, -45.00, 0.00
2023_06_28_12_37_59, -45.00, 0.00
2023_06_28_12_38_01, -45.00, 0.00
2023_06_28_12_38_03, -45.00, 0.00
2023_06_28_12_38_05, -45.00, 0.00
2023_06_28_12_38_07, -45.00, 0.00
2023_06_28_12_38_09, -45.00, 0.00
2023_06_28_12_38_11, -45.00, 0.00
2023_06_28_12_38_13, -45.00, 0.00
2023_06_28_12_38_15, -45.00, 0.00
2023_06_28_12_38_17, -45.00, 0.00
2023_06_28_12_38_19, -45.00, 0.00
2023_06_28_12_38_21, -45.00, 0.00
2023_06_28_12_38_23, -45.00, 0.00
2023_06_28_12_38_25, -45.00, 0.00
2023_06_28_12_38_27, -45.00, 0.00
2023_06_28_12_38_29, -45.00, 0.00
2023_06_28_12_38_31, -45.00, 0.00
2023_06_28_12_38_33, -45.00, 0.00
2023_06_28_12_38_35, -45.00, 0.00
2023_06_28_12_38_37, -45.00, 0.00
2023_06_28_12_38_39, -45.00, 0.00
2023_06_28_12_38_41, -45.00, 0.00
2023_06_28_12_38_43, -45.00, 0.00
2023_06_28_12_38_45, -45.00, 0.00
2023_06_28_12_38_47, -45.00, 0.00
2023_06_28_12_38_49, -45.00, 0.00
2023_06_28_12_38_51, -45.00, 0.00
2023_06_28_12_38_53, -45.00, 0.00
2023_06_28_12_38_55, -45.00, 0.00
2023_06_28_12_38_57, -45.00, 0.00
2023_06_28_12_38_59, -45.00, 0.00
2023_06_28_12_39_01, -45.00, 0.00
2023_06_28_12_39_03, -45.00, 0.00
2023_06_28_12_39_05, -45.00, 0.00
2023_06_28_12_39_07, -45.00, 0.00
2023_06_28_12_39_09, -45.00, 0.00
2023_06_28_12_39_11, -45.00, 0.00
2023_06_28_12_39_13, -45.00, 0.00
2023_06_28_12_39_15, -45.00, 0.00
2023_06_28_12_39_17, -45.00, 0.00
2023_06_28_12_39_19, -45.00, 0.00
2023_06_28_12_39_21, -45.00, 0.00
2023_06_28_12_39_23, -45.00, 0.00
2023_06_28_12_39_25, -45.00, 0.00
2023_06_28_12_39_27, -45.00, 0.00
2023_06_28_12_39_29, -45.00, 0.00
2023_06_28_12_39_31, -45.00, 0.00
2023_06_28_12_39_33, -45.00, 0.00
2023_06_28_12_39_35, -45.00, 0.00
2023_06_28_12_39_37, -45.00, 0.00
